concept,unit,value,d_cor_accountingEntries,d_cor_detailAccountIdentifier,d_cor_detailTax,d_cor_entryDetail,d_cor_entryHeader,d_cor_subaccount
cor:entryDatePosted,,2021-07-01,1,,,,"[""20210701"",""900184""]",
cor:entryId,,900184,1,,,,"[""20210701"",""900184""]",
cor:amountOfTaxes,iso4217:JPY,17392,1,,1,321-D,"[""20210701"",""900184""]",
cor:taxCategory,,Q6,1,,1,321-D,"[""20210701"",""900184""]",
cor:accountNumber,,6030,1,1,,321-D,"[""20210701"",""900184""]",
cor:accountDescription,,Demo Utilities,1,1,,321-D,"[""20210701"",""900184""]",
cor:subaccountDescription,,Demo Operations,1,1,,321-D,"[""20210701"",""900184""]",department
cor:subaccountDescription,,Demo Energy Services,1,1,,321-D,"[""20210701"",""900184""]",auxiliary-account
cor:subaccountId,,D03,1,1,,321-D,"[""20210701"",""900184""]",department
cor:subaccountId,,S002,1,1,,321-D,"[""20210701"",""900184""]",auxiliary-account
cor:type,,department,1,1,,321-D,"[""20210701"",""900184""]",department
cor:type,,auxiliary-account,1,1,,321-D,"[""20210701"",""900184""]",auxiliary-account
cor:detailDescription,,Synthetic demo operating cost bundle 900184,1,,,321-D,"[""20210701"",""900184""]",
cor:monetaryAmount,iso4217:JPY,234790,1,,,321-D,"[""20210701"",""900184""]",
cor:debitCreditIndicator,,D,1,,,321-D,"[""20210701"",""900184""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,321-C,"[""20210701"",""900184""]",
cor:taxCategory,,00,1,,1,321-C,"[""20210701"",""900184""]",
cor:accountNumber,,1110,1,1,,321-C,"[""20210701"",""900184""]",
cor:accountDescription,,Demo North Current Deposit,1,1,,321-C,"[""20210701"",""900184""]",
cor:subaccountDescription,,Demo Operations,1,1,,321-C,"[""20210701"",""900184""]",department
cor:subaccountDescription,,North Demo Bank,1,1,,321-C,"[""20210701"",""900184""]",auxiliary-account
cor:subaccountId,,D03,1,1,,321-C,"[""20210701"",""900184""]",department
cor:subaccountId,,B002,1,1,,321-C,"[""20210701"",""900184""]",auxiliary-account
cor:type,,department,1,1,,321-C,"[""20210701"",""900184""]",department
cor:type,,auxiliary-account,1,1,,321-C,"[""20210701"",""900184""]",auxiliary-account
cor:detailDescription,,Synthetic demo operating cost bundle 900184,1,,,321-C,"[""20210701"",""900184""]",
cor:monetaryAmount,iso4217:JPY,559040,1,,,321-C,"[""20210701"",""900184""]",
cor:debitCreditIndicator,,C,1,,,321-C,"[""20210701"",""900184""]",
cor:amountOfTaxes,iso4217:JPY,13722,1,,1,322-D,"[""20210701"",""900184""]",
cor:taxCategory,,Q5,1,,1,322-D,"[""20210701"",""900184""]",
cor:accountNumber,,6040,1,1,,322-D,"[""20210701"",""900184""]",
cor:accountDescription,,Demo Communication,1,1,,322-D,"[""20210701"",""900184""]",
cor:subaccountDescription,,Demo Operations,1,1,,322-D,"[""20210701"",""900184""]",department
cor:subaccountDescription,,Demo Network Services,1,1,,322-D,"[""20210701"",""900184""]",auxiliary-account
cor:subaccountId,,D03,1,1,,322-D,"[""20210701"",""900184""]",department
cor:subaccountId,,S003,1,1,,322-D,"[""20210701"",""900184""]",auxiliary-account
