concept,unit,value,d_cor_accountingEntries,d_cor_detailAccountIdentifier,d_cor_detailTax,d_cor_entryDetail,d_cor_entryHeader,d_cor_subaccount
cor:entryDatePosted,,2021-08-01,1,,,,"[""20210801"",""900274""]",
cor:entryId,,900274,1,,,,"[""20210801"",""900274""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,426-D,"[""20210801"",""900274""]",
cor:taxCategory,,00,1,,1,426-D,"[""20210801"",""900274""]",
cor:accountNumber,,1110,1,1,,426-D,"[""20210801"",""900274""]",
cor:accountDescription,,Demo North Current Deposit,1,1,,426-D,"[""20210801"",""900274""]",
cor:subaccountDescription,,Demo Sales,1,1,,426-D,"[""20210801"",""900274""]",department
cor:subaccountDescription,,North Demo Bank,1,1,,426-D,"[""20210801"",""900274""]",auxiliary-account
cor:subaccountId,,D01,1,1,,426-D,"[""20210801"",""900274""]",department
cor:subaccountId,,B002,1,1,,426-D,"[""20210801"",""900274""]",auxiliary-account
cor:type,,department,1,1,,426-D,"[""20210801"",""900274""]",department
cor:type,,auxiliary-account,1,1,,426-D,"[""20210801"",""900274""]",auxiliary-account
cor:detailDescription,,Synthetic demo customer receipt 900274,1,,,426-D,"[""20210801"",""900274""]",
cor:monetaryAmount,iso4217:JPY,417370,1,,,426-D,"[""20210801"",""900274""]",
cor:debitCreditIndicator,,D,1,,,426-D,"[""20210801"",""900274""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,426-C,"[""20210801"",""900274""]",
cor:taxCategory,,00,1,,1,426-C,"[""20210801"",""900274""]",
cor:accountNumber,,1200,1,1,,426-C,"[""20210801"",""900274""]",
cor:accountDescription,,Demo Accounts Receivable,1,1,,426-C,"[""20210801"",""900274""]",
cor:subaccountDescription,,Demo Sales,1,1,,426-C,"[""20210801"",""900274""]",department
cor:subaccountDescription,,Demo Customer Cobalt,1,1,,426-C,"[""20210801"",""900274""]",auxiliary-account
cor:subaccountId,,D01,1,1,,426-C,"[""20210801"",""900274""]",department
cor:subaccountId,,C003,1,1,,426-C,"[""20210801"",""900274""]",auxiliary-account
cor:type,,department,1,1,,426-C,"[""20210801"",""900274""]",department
cor:type,,auxiliary-account,1,1,,426-C,"[""20210801"",""900274""]",auxiliary-account
cor:detailDescription,,Synthetic demo customer receipt 900274,1,,,426-C,"[""20210801"",""900274""]",
cor:monetaryAmount,iso4217:JPY,417370,1,,,426-C,"[""20210801"",""900274""]",
cor:debitCreditIndicator,,C,1,,,426-C,"[""20210801"",""900274""]",
cor:entryDatePosted,,2021-08-02,1,,,,"[""20210802"",""900241""]",
cor:entryId,,900241,1,,,,"[""20210802"",""900241""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,427-D,"[""20210802"",""900241""]",
cor:taxCategory,,00,1,,1,427-D,"[""20210802"",""900241""]",
cor:accountNumber,,2000,1,1,,427-D,"[""20210802"",""900241""]",
cor:accountDescription,,Demo Accounts Payable,1,1,,427-D,"[""20210802"",""900241""]",
cor:subaccountDescription,,Demo Sales,1,1,,427-D,"[""20210802"",""900241""]",department
cor:subaccountDescription,,Demo Vendor Lattice,1,1,,427-D,"[""20210802"",""900241""]",auxiliary-account
cor:subaccountId,,D01,1,1,,427-D,"[""20210802"",""900241""]",department
cor:subaccountId,,V002,1,1,,427-D,"[""20210802"",""900241""]",auxiliary-account
cor:type,,department,1,1,,427-D,"[""20210802"",""900241""]",department
cor:type,,auxiliary-account,1,1,,427-D,"[""20210802"",""900241""]",auxiliary-account
cor:detailDescription,,Synthetic demo multi-vendor settlement 900241,1,,,427-D,"[""20210802"",""900241""]",
cor:monetaryAmount,iso4217:JPY,90560,1,,,427-D,"[""20210802"",""900241""]",
cor:debitCreditIndicator,,D,1,,,427-D,"[""20210802"",""900241""]",
cor:detailDescription,,Synthetic demo multi-vendor settlement 900241,1,,,427-C,"[""20210802"",""900241""]",
cor:debitCreditIndicator,,C,1,,,427-C,"[""20210802"",""900241""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,428-D,"[""20210802"",""900241""]",
cor:taxCategory,,00,1,,1,428-D,"[""20210802"",""900241""]",
cor:accountNumber,,2100,1,1,,428-D,"[""20210802"",""900241""]",
cor:accountDescription,,Demo Accrued Payables,1,1,,428-D,"[""20210802"",""900241""]",
cor:subaccountDescription,,Demo Sales,1,1,,428-D,"[""20210802"",""900241""]",department
cor:subaccountDescription,,Demo Vendor Orchid,1,1,,428-D,"[""20210802"",""900241""]",auxiliary-account
cor:subaccountId,,D01,1,1,,428-D,"[""20210802"",""900241""]",department
cor:subaccountId,,V005,1,1,,428-D,"[""20210802"",""900241""]",auxiliary-account
cor:type,,department,1,1,,428-D,"[""20210802"",""900241""]",department
cor:type,,auxiliary-account,1,1,,428-D,"[""20210802"",""900241""]",auxiliary-account
cor:detailDescription,,Synthetic demo multi-vendor settlement 900241,1,,,428-D,"[""20210802"",""900241""]",
cor:monetaryAmount,iso4217:JPY,102140,1,,,428-D,"[""20210802"",""900241""]",
cor:debitCreditIndicator,,D,1,,,428-D,"[""20210802"",""900241""]",
cor:detailDescription,,Synthetic demo multi-vendor settlement 900241,1,,,428-C,"[""20210802"",""900241""]",
cor:debitCreditIndicator,,C,1,,,428-C,"[""20210802"",""900241""]",
cor:detailDescription,,Synthetic demo multi-vendor settlement 900241,1,,,429-D,"[""20210802"",""900241""]",
cor:debitCreditIndicator,,D,1,,,429-D,"[""20210802"",""900241""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,429-C,"[""20210802"",""900241""]",
cor:taxCategory,,00,1,,1,429-C,"[""20210802"",""900241""]",
cor:accountNumber,,1110,1,1,,429-C,"[""20210802"",""900241""]",
cor:accountDescription,,Demo North Current Deposit,1,1,,429-C,"[""20210802"",""900241""]",
cor:subaccountDescription,,Demo Sales,1,1,,429-C,"[""20210802"",""900241""]",department
cor:subaccountDescription,,North Demo Bank,1,1,,429-C,"[""20210802"",""900241""]",auxiliary-account
cor:subaccountId,,D01,1,1,,429-C,"[""20210802"",""900241""]",department
cor:subaccountId,,B002,1,1,,429-C,"[""20210802"",""900241""]",auxiliary-account
cor:type,,department,1,1,,429-C,"[""20210802"",""900241""]",department
cor:type,,auxiliary-account,1,1,,429-C,"[""20210802"",""900241""]",auxiliary-account
cor:detailDescription,,Synthetic demo multi-vendor settlement 900241,1,,,429-C,"[""20210802"",""900241""]",
cor:monetaryAmount,iso4217:JPY,131030,1,,,429-C,"[""20210802"",""900241""]",
cor:debitCreditIndicator,,C,1,,,429-C,"[""20210802"",""900241""]",
cor:detailDescription,,Synthetic demo multi-vendor settlement 900241,1,,,430-D,"[""20210802"",""900241""]",
cor:debitCreditIndicator,,D,1,,,430-D,"[""20210802"",""900241""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,430-C,"[""20210802"",""900241""]",
cor:taxCategory,,00,1,,1,430-C,"[""20210802"",""900241""]",
cor:accountNumber,,1120,1,1,,430-C,"[""20210802"",""900241""]",
cor:accountDescription,,Demo Harbor Ordinary Deposit,1,1,,430-C,"[""20210802"",""900241""]",
cor:subaccountDescription,,Demo Sales,1,1,,430-C,"[""20210802"",""900241""]",department
cor:subaccountDescription,,Harbor Demo Bank,1,1,,430-C,"[""20210802"",""900241""]",auxiliary-account
cor:subaccountId,,D01,1,1,,430-C,"[""20210802"",""900241""]",department
cor:subaccountId,,B003,1,1,,430-C,"[""20210802"",""900241""]",auxiliary-account
cor:type,,department,1,1,,430-C,"[""20210802"",""900241""]",department
cor:type,,auxiliary-account,1,1,,430-C,"[""20210802"",""900241""]",auxiliary-account
cor:detailDescription,,Synthetic demo multi-vendor settlement 900241,1,,,430-C,"[""20210802"",""900241""]",
cor:monetaryAmount,iso4217:JPY,61670,1,,,430-C,"[""20210802"",""900241""]",
cor:debitCreditIndicator,,C,1,,,430-C,"[""20210802"",""900241""]",
