concept,unit,value,d_cor_accountingEntries,d_cor_detailAccountIdentifier,d_cor_detailTax,d_cor_entryDetail,d_cor_entryHeader,d_cor_subaccount
cor:entryDatePosted,,2022-01-01,1,,,,"[""20220101"",""900588""]",
cor:entryId,,900588,1,,,,"[""20220101"",""900588""]",
cor:amountOfTaxes,iso4217:JPY,14705,1,,1,955-D,"[""20220101"",""900588""]",
cor:taxCategory,,Q5,1,,1,955-D,"[""20220101"",""900588""]",
cor:accountNumber,,6140,1,1,,955-D,"[""20220101"",""900588""]",
cor:accountDescription,,Demo Vehicle Expense,1,1,,955-D,"[""20220101"",""900588""]",
cor:subaccountDescription,,Demo Administration,1,1,,955-D,"[""20220101"",""900588""]",department
cor:subaccountDescription,,Demo Vendor Keystone,1,1,,955-D,"[""20220101"",""900588""]",auxiliary-account
cor:subaccountId,,D02,1,1,,955-D,"[""20220101"",""900588""]",department
cor:subaccountId,,V001,1,1,,955-D,"[""20220101"",""900588""]",auxiliary-account
cor:type,,department,1,1,,955-D,"[""20220101"",""900588""]",department
cor:type,,auxiliary-account,1,1,,955-D,"[""20220101"",""900588""]",auxiliary-account
cor:detailDescription,,Synthetic demo operating expense 900588,1,,,955-D,"[""20220101"",""900588""]",
cor:monetaryAmount,iso4217:JPY,161750,1,,,955-D,"[""20220101"",""900588""]",
cor:debitCreditIndicator,,D,1,,,955-D,"[""20220101"",""900588""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,955-C,"[""20220101"",""900588""]",
cor:taxCategory,,00,1,,1,955-C,"[""20220101"",""900588""]",
cor:accountNumber,,1100,1,1,,955-C,"[""20220101"",""900588""]",
cor:accountDescription,,Demo Central Ordinary Deposit,1,1,,955-C,"[""20220101"",""900588""]",
cor:subaccountDescription,,Demo Administration,1,1,,955-C,"[""20220101"",""900588""]",department
cor:subaccountDescription,,Demo Central Bank,1,1,,955-C,"[""20220101"",""900588""]",auxiliary-account
cor:subaccountId,,D02,1,1,,955-C,"[""20220101"",""900588""]",department
cor:subaccountId,,B001,1,1,,955-C,"[""20220101"",""900588""]",auxiliary-account
cor:type,,department,1,1,,955-C,"[""20220101"",""900588""]",department
cor:type,,auxiliary-account,1,1,,955-C,"[""20220101"",""900588""]",auxiliary-account
cor:detailDescription,,Synthetic demo operating expense 900588,1,,,955-C,"[""20220101"",""900588""]",
cor:monetaryAmount,iso4217:JPY,161750,1,,,955-C,"[""20220101"",""900588""]",
cor:debitCreditIndicator,,C,1,,,955-C,"[""20220101"",""900588""]",
cor:entryDatePosted,,2022-01-02,1,,,,"[""20220102"",""900584""]",
cor:entryId,,900584,1,,,,"[""20220102"",""900584""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,956-D,"[""20220102"",""900584""]",
cor:taxCategory,,00,1,,1,956-D,"[""20220102"",""900584""]",
cor:accountNumber,,2200,1,1,,956-D,"[""20220102"",""900584""]",
cor:accountDescription,,Demo Short-term Loans,1,1,,956-D,"[""20220102"",""900584""]",
cor:subaccountDescription,,Demo Management,1,1,,956-D,"[""20220102"",""900584""]",department
cor:subaccountId,,D06,1,1,,956-D,"[""20220102"",""900584""]",department
cor:type,,department,1,1,,956-D,"[""20220102"",""900584""]",department
cor:detailDescription,,Synthetic demo financing settlement 900584,1,,,956-D,"[""20220102"",""900584""]",
cor:monetaryAmount,iso4217:JPY,328410,1,,,956-D,"[""20220102"",""900584""]",
cor:debitCreditIndicator,,D,1,,,956-D,"[""20220102"",""900584""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,956-C,"[""20220102"",""900584""]",
cor:taxCategory,,00,1,,1,956-C,"[""20220102"",""900584""]",
cor:accountNumber,,1120,1,1,,956-C,"[""20220102"",""900584""]",
cor:accountDescription,,Demo Harbor Ordinary Deposit,1,1,,956-C,"[""20220102"",""900584""]",
cor:subaccountDescription,,Demo Management,1,1,,956-C,"[""20220102"",""900584""]",department
cor:subaccountDescription,,Harbor Demo Bank,1,1,,956-C,"[""20220102"",""900584""]",auxiliary-account
cor:subaccountId,,D06,1,1,,956-C,"[""20220102"",""900584""]",department
cor:subaccountId,,B003,1,1,,956-C,"[""20220102"",""900584""]",auxiliary-account
cor:type,,department,1,1,,956-C,"[""20220102"",""900584""]",department
cor:type,,auxiliary-account,1,1,,956-C,"[""20220102"",""900584""]",auxiliary-account
cor:detailDescription,,Synthetic demo financing settlement 900584,1,,,956-C,"[""20220102"",""900584""]",
cor:monetaryAmount,iso4217:JPY,746400,1,,,956-C,"[""20220102"",""900584""]",
cor:debitCreditIndicator,,C,1,,,956-C,"[""20220102"",""900584""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,957-D,"[""20220102"",""900584""]",
cor:taxCategory,,00,1,,1,957-D,"[""20220102"",""900584""]",
cor:accountNumber,,6070,1,1,,957-D,"[""20220102"",""900584""]",
cor:accountDescription,,Demo Bank Fees,1,1,,957-D,"[""20220102"",""900584""]",
cor:subaccountDescription,,Demo Management,1,1,,957-D,"[""20220102"",""900584""]",department
cor:subaccountDescription,,Harbor Demo Bank,1,1,,957-D,"[""20220102"",""900584""]",auxiliary-account
cor:subaccountId,,D06,1,1,,957-D,"[""20220102"",""900584""]",department
cor:subaccountId,,B003,1,1,,957-D,"[""20220102"",""900584""]",auxiliary-account
cor:type,,department,1,1,,957-D,"[""20220102"",""900584""]",department
cor:type,,auxiliary-account,1,1,,957-D,"[""20220102"",""900584""]",auxiliary-account
cor:detailDescription,,Synthetic demo financing settlement 900584,1,,,957-D,"[""20220102"",""900584""]",
cor:monetaryAmount,iso4217:JPY,186600,1,,,957-D,"[""20220102"",""900584""]",
cor:debitCreditIndicator,,D,1,,,957-D,"[""20220102"",""900584""]",
cor:detailDescription,,Synthetic demo financing settlement 900584,1,,,957-C,"[""20220102"",""900584""]",
cor:debitCreditIndicator,,C,1,,,957-C,"[""20220102"",""900584""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,958-D,"[""20220102"",""900584""]",
cor:taxCategory,,P0,1,,1,958-D,"[""20220102"",""900584""]",
cor:accountNumber,,7000,1,1,,958-D,"[""20220102"",""900584""]",
cor:accountDescription,,Demo Taxes and Dues,1,1,,958-D,"[""20220102"",""900584""]",
cor:subaccountDescription,,Demo Management,1,1,,958-D,"[""20220102"",""900584""]",department
cor:subaccountId,,D06,1,1,,958-D,"[""20220102"",""900584""]",department
cor:type,,department,1,1,,958-D,"[""20220102"",""900584""]",department
cor:detailDescription,,Synthetic demo financing settlement 900584,1,,,958-D,"[""20220102"",""900584""]",
cor:monetaryAmount,iso4217:JPY,231390,1,,,958-D,"[""20220102"",""900584""]",
cor:debitCreditIndicator,,D,1,,,958-D,"[""20220102"",""900584""]",
cor:detailDescription,,Synthetic demo financing settlement 900584,1,,,958-C,"[""20220102"",""900584""]",
cor:debitCreditIndicator,,C,1,,,958-C,"[""20220102"",""900584""]",
cor:entryDatePosted,,2022-01-03,1,,,,"[""20220103"",""900535""]",
cor:entryId,,900535,1,,,,"[""20220103"",""900535""]",
cor:amountOfTaxes,iso4217:JPY,34268,1,,1,959-D,"[""20220103"",""900535""]",
