concept,unit,value,d_cor_accountingEntries,d_cor_detailAccountIdentifier,d_cor_detailTax,d_cor_entryDetail,d_cor_entryHeader,d_cor_subaccount
cor:entryDatePosted,,2022-03-01,1,,,,"[""20220301"",""900671""]",
cor:entryId,,900671,1,,,,"[""20220301"",""900671""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,1163-D,"[""20220301"",""900671""]",
cor:taxCategory,,00,1,,1,1163-D,"[""20220301"",""900671""]",
cor:accountNumber,,1200,1,1,,1163-D,"[""20220301"",""900671""]",
cor:accountDescription,,Demo Accounts Receivable,1,1,,1163-D,"[""20220301"",""900671""]",
cor:subaccountDescription,,Demo Sales,1,1,,1163-D,"[""20220301"",""900671""]",department
cor:subaccountDescription,,Demo Customer Dawn,1,1,,1163-D,"[""20220301"",""900671""]",auxiliary-account
cor:subaccountId,,D01,1,1,,1163-D,"[""20220301"",""900671""]",department
cor:subaccountId,,C004,1,1,,1163-D,"[""20220301"",""900671""]",auxiliary-account
cor:type,,department,1,1,,1163-D,"[""20220301"",""900671""]",department
cor:type,,auxiliary-account,1,1,,1163-D,"[""20220301"",""900671""]",auxiliary-account
cor:detailDescription,,Synthetic demo credit sale 900671,1,,,1163-D,"[""20220301"",""900671""]",
cor:monetaryAmount,iso4217:JPY,478190,1,,,1163-D,"[""20220301"",""900671""]",
cor:debitCreditIndicator,,D,1,,,1163-D,"[""20220301"",""900671""]",
cor:amountOfTaxes,iso4217:JPY,43472,1,,1,1163-C,"[""20220301"",""900671""]",
cor:taxCategory,,B5,1,,1,1163-C,"[""20220301"",""900671""]",
cor:accountNumber,,4020,1,1,,1163-C,"[""20220301"",""900671""]",
cor:accountDescription,,Demo Other Operating Revenue,1,1,,1163-C,"[""20220301"",""900671""]",
cor:subaccountDescription,,Demo Sales,1,1,,1163-C,"[""20220301"",""900671""]",department
cor:subaccountDescription,,Demo Customer Dawn,1,1,,1163-C,"[""20220301"",""900671""]",auxiliary-account
cor:subaccountId,,D01,1,1,,1163-C,"[""20220301"",""900671""]",department
cor:subaccountId,,C004,1,1,,1163-C,"[""20220301"",""900671""]",auxiliary-account
cor:type,,department,1,1,,1163-C,"[""20220301"",""900671""]",department
cor:type,,auxiliary-account,1,1,,1163-C,"[""20220301"",""900671""]",auxiliary-account
cor:detailDescription,,Synthetic demo credit sale 900671,1,,,1163-C,"[""20220301"",""900671""]",
cor:monetaryAmount,iso4217:JPY,478190,1,,,1163-C,"[""20220301"",""900671""]",
cor:debitCreditIndicator,,C,1,,,1163-C,"[""20220301"",""900671""]",
cor:entryDatePosted,,2022-03-01,1,,,,"[""20220301"",""900683""]",
cor:entryId,,900683,1,,,,"[""20220301"",""900683""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,1164-D,"[""20220301"",""900683""]",
cor:taxCategory,,00,1,,1,1164-D,"[""20220301"",""900683""]",
cor:accountNumber,,1120,1,1,,1164-D,"[""20220301"",""900683""]",
cor:accountDescription,,Demo Harbor Ordinary Deposit,1,1,,1164-D,"[""20220301"",""900683""]",
cor:subaccountDescription,,Demo Sales,1,1,,1164-D,"[""20220301"",""900683""]",department
cor:subaccountDescription,,Harbor Demo Bank,1,1,,1164-D,"[""20220301"",""900683""]",auxiliary-account
cor:subaccountId,,D01,1,1,,1164-D,"[""20220301"",""900683""]",department
cor:subaccountId,,B003,1,1,,1164-D,"[""20220301"",""900683""]",auxiliary-account
cor:type,,department,1,1,,1164-D,"[""20220301"",""900683""]",department
cor:type,,auxiliary-account,1,1,,1164-D,"[""20220301"",""900683""]",auxiliary-account
cor:detailDescription,,Synthetic demo customer receipt 900683,1,,,1164-D,"[""20220301"",""900683""]",
cor:monetaryAmount,iso4217:JPY,450630,1,,,1164-D,"[""20220301"",""900683""]",
