concept,unit,value,d_cor_accountingEntries,d_cor_detailAccountIdentifier,d_cor_detailTax,d_cor_entryDetail,d_cor_entryHeader,d_cor_subaccount
cor:entryDatePosted,,2021-05-01,1,,,,"[""20210501"",""900065""]",
cor:entryId,,900065,1,,,,"[""20210501"",""900065""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,113-D,"[""20210501"",""900065""]",
cor:taxCategory,,00,1,,1,113-D,"[""20210501"",""900065""]",
cor:accountNumber,,2200,1,1,,113-D,"[""20210501"",""900065""]",
cor:accountDescription,,Demo Short-term Loans,1,1,,113-D,"[""20210501"",""900065""]",
cor:subaccountDescription,,Demo Management,1,1,,113-D,"[""20210501"",""900065""]",department
cor:subaccountId,,D06,1,1,,113-D,"[""20210501"",""900065""]",department
cor:type,,department,1,1,,113-D,"[""20210501"",""900065""]",department
cor:detailDescription,,Synthetic demo financing settlement 900065,1,,,113-D,"[""20210501"",""900065""]",
cor:monetaryAmount,iso4217:JPY,78690,1,,,113-D,"[""20210501"",""900065""]",
cor:debitCreditIndicator,,D,1,,,113-D,"[""20210501"",""900065""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,113-C,"[""20210501"",""900065""]",
cor:taxCategory,,00,1,,1,113-C,"[""20210501"",""900065""]",
cor:accountNumber,,1120,1,1,,113-C,"[""20210501"",""900065""]",
cor:accountDescription,,Demo Harbor Ordinary Deposit,1,1,,113-C,"[""20210501"",""900065""]",
cor:subaccountDescription,,Demo Management,1,1,,113-C,"[""20210501"",""900065""]",department
cor:subaccountDescription,,Harbor Demo Bank,1,1,,113-C,"[""20210501"",""900065""]",auxiliary-account
cor:subaccountId,,D06,1,1,,113-C,"[""20210501"",""900065""]",department
cor:subaccountId,,B003,1,1,,113-C,"[""20210501"",""900065""]",auxiliary-account
cor:type,,department,1,1,,113-C,"[""20210501"",""900065""]",department
cor:type,,auxiliary-account,1,1,,113-C,"[""20210501"",""900065""]",auxiliary-account
cor:detailDescription,,Synthetic demo financing settlement 900065,1,,,113-C,"[""20210501"",""900065""]",
cor:monetaryAmount,iso4217:JPY,462890,1,,,113-C,"[""20210501"",""900065""]",
cor:debitCreditIndicator,,C,1,,,113-C,"[""20210501"",""900065""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,114-D,"[""20210501"",""900065""]",
cor:taxCategory,,00,1,,1,114-D,"[""20210501"",""900065""]",
cor:accountNumber,,6070,1,1,,114-D,"[""20210501"",""900065""]",
cor:accountDescription,,Demo Bank Fees,1,1,,114-D,"[""20210501"",""900065""]",
cor:subaccountDescription,,Demo Management,1,1,,114-D,"[""20210501"",""900065""]",department
cor:subaccountDescription,,Harbor Demo Bank,1,1,,114-D,"[""20210501"",""900065""]",auxiliary-account
cor:subaccountId,,D06,1,1,,114-D,"[""20210501"",""900065""]",department
cor:subaccountId,,B003,1,1,,114-D,"[""20210501"",""900065""]",auxiliary-account
cor:type,,department,1,1,,114-D,"[""20210501"",""900065""]",department
cor:type,,auxiliary-account,1,1,,114-D,"[""20210501"",""900065""]",auxiliary-account
cor:detailDescription,,Synthetic demo financing settlement 900065,1,,,114-D,"[""20210501"",""900065""]",
cor:monetaryAmount,iso4217:JPY,78690,1,,,114-D,"[""20210501"",""900065""]",
cor:debitCreditIndicator,,D,1,,,114-D,"[""20210501"",""900065""]",
cor:detailDescription,,Synthetic demo financing settlement 900065,1,,,114-C,"[""20210501"",""900065""]",
cor:debitCreditIndicator,,C,1,,,114-C,"[""20210501"",""900065""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,115-D,"[""20210501"",""900065""]",
cor:taxCategory,,P0,1,,1,115-D,"[""20210501"",""900065""]",
cor:accountNumber,,7000,1,1,,115-D,"[""20210501"",""900065""]",
cor:accountDescription,,Demo Taxes and Dues,1,1,,115-D,"[""20210501"",""900065""]",
cor:subaccountDescription,,Demo Management,1,1,,115-D,"[""20210501"",""900065""]",department
cor:subaccountId,,D06,1,1,,115-D,"[""20210501"",""900065""]",department
cor:type,,department,1,1,,115-D,"[""20210501"",""900065""]",department
cor:detailDescription,,Synthetic demo financing settlement 900065,1,,,115-D,"[""20210501"",""900065""]",
cor:monetaryAmount,iso4217:JPY,305510,1,,,115-D,"[""20210501"",""900065""]",
cor:debitCreditIndicator,,D,1,,,115-D,"[""20210501"",""900065""]",
cor:detailDescription,,Synthetic demo financing settlement 900065,1,,,115-C,"[""20210501"",""900065""]",
cor:debitCreditIndicator,,C,1,,,115-C,"[""20210501"",""900065""]",
cor:entryDatePosted,,2021-05-01,1,,,,"[""20210501"",""900121""]",
cor:entryId,,900121,1,,,,"[""20210501"",""900121""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,116-D,"[""20210501"",""900121""]",
cor:taxCategory,,00,1,,1,116-D,"[""20210501"",""900121""]",
cor:accountNumber,,1200,1,1,,116-D,"[""20210501"",""900121""]",
cor:accountDescription,,Demo Accounts Receivable,1,1,,116-D,"[""20210501"",""900121""]",
cor:subaccountDescription,,Demo Sales,1,1,,116-D,"[""20210501"",""900121""]",department
cor:subaccountDescription,,Demo Customer Dawn,1,1,,116-D,"[""20210501"",""900121""]",auxiliary-account
cor:subaccountId,,D01,1,1,,116-D,"[""20210501"",""900121""]",department
cor:subaccountId,,C004,1,1,,116-D,"[""20210501"",""900121""]",auxiliary-account
cor:type,,department,1,1,,116-D,"[""20210501"",""900121""]",department
cor:type,,auxiliary-account,1,1,,116-D,"[""20210501"",""900121""]",auxiliary-account
cor:detailDescription,,Synthetic demo credit sale 900121,1,,,116-D,"[""20210501"",""900121""]",
cor:monetaryAmount,iso4217:JPY,440700,1,,,116-D,"[""20210501"",""900121""]",
cor:debitCreditIndicator,,D,1,,,116-D,"[""20210501"",""900121""]",
cor:amountOfTaxes,iso4217:JPY,40064,1,,1,116-C,"[""20210501"",""900121""]",
cor:taxCategory,,B5,1,,1,116-C,"[""20210501"",""900121""]",
cor:accountNumber,,4010,1,1,,116-C,"[""20210501"",""900121""]",
cor:accountDescription,,Demo Service Revenue,1,1,,116-C,"[""20210501"",""900121""]",
cor:subaccountDescription,,Demo Sales,1,1,,116-C,"[""20210501"",""900121""]",department
cor:subaccountDescription,,Demo Customer Dawn,1,1,,116-C,"[""20210501"",""900121""]",auxiliary-account
cor:subaccountId,,D01,1,1,,116-C,"[""20210501"",""900121""]",department
cor:subaccountId,,C004,1,1,,116-C,"[""20210501"",""900121""]",auxiliary-account
cor:type,,department,1,1,,116-C,"[""20210501"",""900121""]",department
cor:type,,auxiliary-account,1,1,,116-C,"[""20210501"",""900121""]",auxiliary-account
cor:detailDescription,,Synthetic demo credit sale 900121,1,,,116-C,"[""20210501"",""900121""]",
cor:monetaryAmount,iso4217:JPY,440700,1,,,116-C,"[""20210501"",""900121""]",
cor:debitCreditIndicator,,C,1,,,116-C,"[""20210501"",""900121""]",
cor:entryDatePosted,,2021-05-02,1,,,,"[""20210502"",""900119""]",
cor:entryId,,900119,1,,,,"[""20210502"",""900119""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,117-D,"[""20210502"",""900119""]",
cor:taxCategory,,00,1,,1,117-D,"[""20210502"",""900119""]",
cor:accountNumber,,1400,1,1,,117-D,"[""20210502"",""900119""]",
cor:accountDescription,,Demo Prepaid Expenses,1,1,,117-D,"[""20210502"",""900119""]",
cor:subaccountDescription,,Demo Digital Services,1,1,,117-D,"[""20210502"",""900119""]",department
cor:subaccountDescription,,Demo Insurance Services,1,1,,117-D,"[""20210502"",""900119""]",auxiliary-account
cor:subaccountId,,D05,1,1,,117-D,"[""20210502"",""900119""]",department
cor:subaccountId,,S006,1,1,,117-D,"[""20210502"",""900119""]",auxiliary-account
cor:type,,department,1,1,,117-D,"[""20210502"",""900119""]",department
cor:type,,auxiliary-account,1,1,,117-D,"[""20210502"",""900119""]",auxiliary-account
cor:detailDescription,,Synthetic demo prepaid service 900119,1,,,117-D,"[""20210502"",""900119""]",
cor:monetaryAmount,iso4217:JPY,184270,1,,,117-D,"[""20210502"",""900119""]",
cor:debitCreditIndicator,,D,1,,,117-D,"[""20210502"",""900119""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,117-C,"[""20210502"",""900119""]",
