concept,unit,value,d_cor_accountingEntries,d_cor_detailAccountIdentifier,d_cor_detailTax,d_cor_entryDetail,d_cor_entryHeader,d_cor_subaccount
cor:entryDatePosted,,2021-11-01,1,,,,"[""20211101"",""900414""]",
cor:entryId,,900414,1,,,,"[""20211101"",""900414""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,740-D,"[""20211101"",""900414""]",
cor:taxCategory,,00,1,,1,740-D,"[""20211101"",""900414""]",
cor:accountNumber,,1100,1,1,,740-D,"[""20211101"",""900414""]",
cor:accountDescription,,Demo Central Ordinary Deposit,1,1,,740-D,"[""20211101"",""900414""]",
cor:subaccountDescription,,Demo Sales,1,1,,740-D,"[""20211101"",""900414""]",department
cor:subaccountDescription,,Demo Central Bank,1,1,,740-D,"[""20211101"",""900414""]",auxiliary-account
cor:subaccountId,,D01,1,1,,740-D,"[""20211101"",""900414""]",department
cor:subaccountId,,B001,1,1,,740-D,"[""20211101"",""900414""]",auxiliary-account
cor:type,,department,1,1,,740-D,"[""20211101"",""900414""]",department
cor:type,,auxiliary-account,1,1,,740-D,"[""20211101"",""900414""]",auxiliary-account
cor:detailDescription,,Synthetic demo customer receipt 900414,1,,,740-D,"[""20211101"",""900414""]",
cor:monetaryAmount,iso4217:JPY,70310,1,,,740-D,"[""20211101"",""900414""]",
cor:debitCreditIndicator,,D,1,,,740-D,"[""20211101"",""900414""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,740-C,"[""20211101"",""900414""]",
cor:taxCategory,,00,1,,1,740-C,"[""20211101"",""900414""]",
cor:accountNumber,,1200,1,1,,740-C,"[""20211101"",""900414""]",
cor:accountDescription,,Demo Accounts Receivable,1,1,,740-C,"[""20211101"",""900414""]",
cor:subaccountDescription,,Demo Sales,1,1,,740-C,"[""20211101"",""900414""]",department
cor:subaccountDescription,,Demo Customer Cobalt,1,1,,740-C,"[""20211101"",""900414""]",auxiliary-account
cor:subaccountId,,D01,1,1,,740-C,"[""20211101"",""900414""]",department
cor:subaccountId,,C003,1,1,,740-C,"[""20211101"",""900414""]",auxiliary-account
cor:type,,department,1,1,,740-C,"[""20211101"",""900414""]",department
cor:type,,auxiliary-account,1,1,,740-C,"[""20211101"",""900414""]",auxiliary-account
cor:detailDescription,,Synthetic demo customer receipt 900414,1,,,740-C,"[""20211101"",""900414""]",
cor:monetaryAmount,iso4217:JPY,70310,1,,,740-C,"[""20211101"",""900414""]",
cor:debitCreditIndicator,,C,1,,,740-C,"[""20211101"",""900414""]",
cor:entryDatePosted,,2021-11-01,1,,,,"[""20211101"",""900425""]",
cor:entryId,,900425,1,,,,"[""20211101"",""900425""]",
cor:amountOfTaxes,iso4217:JPY,28105,1,,1,741-D,"[""20211101"",""900425""]",
cor:taxCategory,,Q5,1,,1,741-D,"[""20211101"",""900425""]",
cor:accountNumber,,5020,1,1,,741-D,"[""20211101"",""900425""]",
cor:accountDescription,,Demo Inventory Adjustment,1,1,,741-D,"[""20211101"",""900425""]",
cor:subaccountDescription,,Demo Logistics,1,1,,741-D,"[""20211101"",""900425""]",department
cor:subaccountDescription,,Demo Vendor Prairie,1,1,,741-D,"[""20211101"",""900425""]",auxiliary-account
cor:subaccountId,,D04,1,1,,741-D,"[""20211101"",""900425""]",department
cor:subaccountId,,V006,1,1,,741-D,"[""20211101"",""900425""]",auxiliary-account
cor:type,,department,1,1,,741-D,"[""20211101"",""900425""]",department
cor:type,,auxiliary-account,1,1,,741-D,"[""20211101"",""900425""]",auxiliary-account
cor:detailDescription,,Synthetic demo purchase on account 900425,1,,,741-D,"[""20211101"",""900425""]",
cor:monetaryAmount,iso4217:JPY,309160,1,,,741-D,"[""20211101"",""900425""]",
cor:debitCreditIndicator,,D,1,,,741-D,"[""20211101"",""900425""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,741-C,"[""20211101"",""900425""]",
cor:taxCategory,,00,1,,1,741-C,"[""20211101"",""900425""]",
cor:accountNumber,,2000,1,1,,741-C,"[""20211101"",""900425""]",
cor:accountDescription,,Demo Accounts Payable,1,1,,741-C,"[""20211101"",""900425""]",
cor:subaccountDescription,,Demo Logistics,1,1,,741-C,"[""20211101"",""900425""]",department
cor:subaccountDescription,,Demo Vendor Prairie,1,1,,741-C,"[""20211101"",""900425""]",auxiliary-account
cor:subaccountId,,D04,1,1,,741-C,"[""20211101"",""900425""]",department
cor:subaccountId,,V006,1,1,,741-C,"[""20211101"",""900425""]",auxiliary-account
cor:type,,department,1,1,,741-C,"[""20211101"",""900425""]",department
cor:type,,auxiliary-account,1,1,,741-C,"[""20211101"",""900425""]",auxiliary-account
cor:detailDescription,,Synthetic demo purchase on account 900425,1,,,741-C,"[""20211101"",""900425""]",
cor:monetaryAmount,iso4217:JPY,309160,1,,,741-C,"[""20211101"",""900425""]",
