source_application,source_record_key,source_row,source_occurrence_side,source_tax_code,source_tax_rate_lexical,source_tax_inclusion_mode,mapping_rule_id,output_tax_type,output_tax_category,output_tax_rate_ratio,output_transaction_classification,restoration_status,trace_sha256
PCA_Accounting_81col_AnonymousEvaluation_V17_V14,"[""20210401"",""18""]",1,C,00,,,L2:00:,VAT,O,,,STANDARDIZED,BF4090605B4F04247E19BD5A912B0C50E5B73B2987B20B44D1576ACF770683A1
PCA_Accounting_81col_AnonymousEvaluation_V17_V14,"[""20210401"",""18""]",1,D,Q5,,,L6:Q5:,VAT,S,0.10,Purchase,STANDARDIZED,0B90A8BD6AFE0237B51EC2F5564E893BCBADDF65595281B4264C0A203BCBEDB3
PCA_Accounting_81col_AnonymousEvaluation_V17_V14,"[""20210401"",""246""]",2,C,00,,,L2:00:,VAT,O,,,STANDARDIZED,70325603A45D372432E4DC6E953FF3F2572C14AE065ABAE08A6AE21ED3F7243B
PCA_Accounting_81col_AnonymousEvaluation_V17_V14,"[""20210401"",""246""]",2,D,Q5,,,L6:Q5:,VAT,S,0.10,Purchase,STANDARDIZED,7A08C87DEA3D88DF9E52B669B8E781A78BB62821E65A21252BBBB54E47A3B27C
PCA_Accounting_81col_AnonymousEvaluation_V17_V14,"[""20210402"",""122""]",5,C,00,,,L2:00:,VAT,O,,,STANDARDIZED,62852C7C45CADB390E3F485D4A32F7A6E54277CE0272D4884598D0E48F83C4F0
PCA_Accounting_81col_AnonymousEvaluation_V17_V14,"[""20210402"",""122""]",5,D,Q5,,,L6:Q5:,VAT,S,0.10,Purchase,STANDARDIZED,E3E26D309580897D20CE93E7815282A21F1314F9572B1D40178749AD49F8E6D3
PCA_Accounting_81col_AnonymousEvaluation_V17_V14,"[""20210402"",""142""]",6,C,00,,,L2:00:,VAT,O,,,STANDARDIZED,C2B33497A5DD73774AC78F51CB93F13EBB5958F575BFDBFAC6AACAEC3F81EACB
PCA_Accounting_81col_AnonymousEvaluation_V17_V14,"[""20210402"",""142""]",6,D,Q5,,,L6:Q5:,VAT,S,0.10,Purchase,STANDARDIZED,195E9A24173E98C235E18861E70F2F722F105D1E25DF533DD6A63D1C041EF619
PCA_Accounting_81col_AnonymousEvaluation_V17_V14,"[""20210402"",""142""]",7,D,Q5,,,L6:Q5:,VAT,S,0.10,Purchase,STANDARDIZED,80F49DB792B5CF873416CAF8A97167572C2A23C224B9953E11FA3B8AD0AAE06F
PCA_Accounting_81col_AnonymousEvaluation_V17_V14,"[""20210402"",""142""]",8,D,Q5,,,L6:Q5:,VAT,S,0.10,Purchase,STANDARDIZED,D8E928D8E7BCFE21BB4A077746227BB18AB3D2B40117917EF49F586B1FBABE5B
PCA_Accounting_81col_AnonymousEvaluation_V17_V14,"[""20210402"",""142""]",9,D,Q5,,,L6:Q5:,VAT,S,0.10,Purchase,STANDARDIZED,2FACB3533FE6452E68431345AA2FC540D7E6CB78A8B87786EC1204B44915E3CE
PCA_Accounting_81col_AnonymousEvaluation_V17_V14,"[""20210402"",""19""]",3,C,00,,,L2:00:,VAT,O,,,STANDARDIZED,ED7BC2AA8D6A653D7EBD0E2509C67F610FD309A29EF79B3B5EEC533FD59C1D66
PCA_Accounting_81col_AnonymousEvaluation_V17_V14,"[""20210402"",""19""]",3,D,Q5,,,L6:Q5:,VAT,S,0.10,Purchase,STANDARDIZED,C32FAA94EFF01278F4470175B85A4D17FE93DF56FF8ADF6546EDB3D3985BE5A8
PCA_Accounting_81col_AnonymousEvaluation_V17_V14,"[""20210402"",""68""]",4,C,00,,,L2:00:,VAT,O,,,STANDARDIZED,63DD05D9E58610981AD655F620D9046522CAE8A84E564178160C6174B262EC3C
PCA_Accounting_81col_AnonymousEvaluation_V17_V14,"[""20210402"",""68""]",4,D,Q5,,,L6:Q5:,VAT,S,0.10,Purchase,STANDARDIZED,D67DC27B28671442B031DB3A886CD480FA143423C4525A63BD0508A5F7A16D22
PCA_Accounting_81col_AnonymousEvaluation_V17_V14,"[""20210403"",""134""]",11,C,00,,,L2:00:,VAT,O,,,STANDARDIZED,3C609AAC24C99EDBD89C7B4D69609DA0B945540683498A5A2807D2F0912E1219
PCA_Accounting_81col_AnonymousEvaluation_V17_V14,"[""20210403"",""134""]",11,D,Q5,,,L6:Q5:,VAT,S,0.10,Purchase,STANDARDIZED,9C609C6B2B38324F4D4DFCD332D475D1E6A85806261663AECF1CC7EDF8ABDFE5
