dInvoice,dInvoiceInvoiceNote,dInvoicePrecedingInvoiceReference,dPaymentInstructions,dCreditTransfer,dDocumentLevelAllowances,dDocumentLevelCharges,dVatBreakdown,dAdditionalSupportingDocuments,dInvoiceLine,dInvoiceLineAllowances,dInvoiceLineCharges,dItemAttributes,InvoiceNumber,InvoiceIssueDate,InvoiceTypeCode,DocumentCurrencyCode,TaxAccountingCurrencyCode,ValueAddedTaxPointDate,ValueAddedTaxPointDateCode,PaymentDueDate,BuyerReference,ProjectReference,ContractReference,PurchaseOrderReference,SalesOrderReference,ReceivingAdviceReference,DespatchAdviceReference,TenderOrLotReference,InvoicedObjectIdentifier,BuyerAccountingReference,PaymentTerms,InvoiceNoteSubjectCode,InvoiceNoteInvoiceNote,BusinessProcessType,SpecificationIdentifier,PrecedingInvoiceReferencePrecedingInvoiceReference,PrecedingInvoiceIssueDate,SellerName,SellerTradingName,SellerIdentifier,SellerLegalRegistrationIdentifier,SellerVatIdentifier,SellerTaxRegistrationIdentifier,SellerAdditionalLegalInformation,SellerElectronicAddress,SellerAddressLine1,SellerAddressLine2,SellerAddressLine3,SellerCity,SellerPostCode,SellerCountrySubdivision,SellerCountryCode,SellerContactPoint,SellerContactTelephoneNumber,SellerContactEmailAddress,BuyerName,BuyerTradingName,BuyerIdentifier,BuyerLegalRegistrationIdentifier,BuyerVatIdentifier,BuyerElectronicAddress,BuyerAddressLine1,BuyerAddressLine2,BuyerAddressLine3,BuyerCity,BuyerPostCode,BuyerCountrySubdivision,BuyerCountryCode,BuyerContactPoint,BuyerContactTelephoneNumber,BuyerContactEmailAddress,PayeeName,PayeeIdentifier,PayeeLegalRegistrationIdentifier,SellerTaxRepresentativeName,SellerTaxRepresentativeVatIdentifier,TaxRepresentativeAddressLine1,TaxRepresentativeAddressLine2,TaxRepresentativeAddressLine3,TaxRepresentativeCity,TaxRepresentativePostCode,TaxRepresentativeCountrySubdivision,TaxRepresentativeCountryCode,DeliverToPartyName,DeliverToLocationIdentifier,ActualDeliveryDate,InvoicingPeriodStartDate,InvoicingPeriodEndDate,DeliverToAddressLine1,DeliverToAddressLine2,DeliverToAddressLine3,DeliverToCity,DeliverToPostCode,DeliverToCountrySubdivision,DeliverToCountryCode,PaymentMeansTypeCode,PaymentMeansText,PaymentRemittanceInformation,PaymentAccountIdentifier,PaymentAccountName,PaymentServiceProviderIdentifier,PaymentCardPrimaryAccountNumber,PaymentCardHolderName,MandateReferenceIdentifier,BankAssignedCreditorIdentifier,DebitedAccountIdentifier,DocumentLevelAllowanceAmount,DocumentLevelAllowanceBaseAmount,DocumentLevelAllowancePercentage,DocumentLevelAllowanceVatCategoryCode,DocumentLevelAllowanceVatRate,DocumentLevelAllowanceReason,DocumentLevelAllowanceReasonCode,DocumentLevelChargeAmount,DocumentLevelChargeBaseAmount,DocumentLevelChargePercentage,DocumentLevelChargeVatCategoryCode,DocumentLevelChargeVatRate,DocumentLevelChargeReason,DocumentLevelChargeReasonCode,SumOfInvoiceLineNetAmount,SumOfAllowancesOnDocumentLevel,SumOfChargesOnDocumentLevel,InvoiceTotalAmountWithoutVat,InvoiceTotalVatAmount,InvoiceTotalVatAmountInAccountingCurrency,InvoiceTotalAmountWithVat,PaidAmount,RoundingAmount,AmountDueForPayment,VatCategoryTaxableAmount,VatCategoryTaxAmount,VatCategoryCode,VatCategoryRate,VatExemptionReasonText,VatExemptionReasonCode,SupportingDocumentReference,SupportingDocumentDescription,ExternalDocumentLocation,AttachedDocument,InvoiceLineIdentifier,InvoiceLineNote,InvoiceLineObjectIdentifier,InvoicedQuantity,InvoicedQuantityUnitCode,InvoiceLineNetAmount,ReferencedPurchaseOrderLineReference,InvoiceLineBuyerAccountingReference,InvoiceLinePeriodStartDate,InvoiceLinePeriodEndDate,InvoiceLineAllowanceAmount,InvoiceLineAllowanceBaseAmount,InvoiceLineAllowancePercentage,InvoiceLineAllowanceReason,InvoiceLineAllowanceReasonCode,InvoiceLineChargeAmount,InvoiceLineChargeBaseAmount,InvoiceLineChargePercentage,InvoiceLineChargeReason,InvoiceLineChargeReasonCode,ItemNetPrice,ItemPriceDiscount,ItemGrossPrice,ItemPriceBaseQuantity,ItemPriceBaseQuantityUnitCode,InvoicedItemVatCategoryCode,InvoicedItemVatRate,ItemName,ItemDescription,ItemSellerIdentifier,ItemBuyerIdentifier,ItemStandardIdentifier,ItemClassificationIdentifier,ItemCountryOfOrigin,ItemAttributeName,ItemAttributeValue
1,,,,,,,,,,,,,Snippet1,2017-11-13,380,EUR,,,,2017-12-01,0150abc,,,,,,,,,4025:123:4343,"Payment within 10 days, 2% discount",,,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017#compliant#urn:fdc:peppol.eu:2017:poacc:billing:3.0,,,SupplierOfficialName Ltd,SupplierTradingName Ltd.,99887766,GB983294,GB1232434,,AdditionalLegalInformation,7300010000001,,Postbox 123,,London,GB 123 EW,,GB,John Doe,9384203984,john.doe@foo.bar,Buyer Official Name,BuyerTradingName AS,FR23342,39937423947,SE4598375937,FR23342,,Po box 878,,Stockholm,456 34,,SE,,,,,,,,,,,,,,,,Delivery party Name,7300010000001,2017-11-01,,,Delivery street 2,Building 56,Gate 15,Stockholm,21234,Södermalm,SE,,,,,,,,,,,,,,,,,,,,,,,,,,6900,100,200,7000,1550.00,,8550,,,8550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Credit transfer,Snippet1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBAN32423940,AccountName,BIC324098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,S,25,Discount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,S,25,Cleaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0,1250,S,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,300,S,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Testing note on line level,,10,C62,4000.00,123,Konteringsstreng,2017-12-01,2017-12-05,,,,,,,,,,,400,,,,,S,25.0,item name,Description of item,97iugug876,,7300010000001,09348023,NO,,
1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,10,C62,2000.00,,Konteringsstreng,,,,,,,,,,,,,200,,,,,S,15.0,item name,Description of item,97iugug876,,7300010000001,86776,,,
1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,10,C62,900.00,,Konteringsstreng,,,,,,,,,,,,,90,,,,,S,25.0,item name,Description of item,97iugug876,,873649827489,86776,,,
