sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
1,1,C,,invoice,,1..*,,,syntax,invoice,C0001,/C0001,$.invoice,invoice,,,invoice,
2,2,A,,invoiceDocumentContext,Text,0..1,,,syntax,invoice,A0002,/C0001/A0002,$.invoice.invoiceDocumentContext,invoice.invoiceDocumentContext,,,invoice_invoiceDocumentContext,/Invoice
3,2,C,,invoiceDocumentContext,,1..*,,,syntax,invoiceDocumentContext,C0003,/C0001/C0003,$.invoice.invoiceDocumentContext,invoice.invoiceDocumentContext,,,invoiceDocumentContext,
4,3,A,,invoiceNumber,Text,0..1,,,syntax,invoiceDocumentContext,A0004,/C0003/A0004,$.invoice.invoiceDocumentContext.invoiceNumber,invoice.invoiceDocumentContext.invoiceNumber,,,invoice_invoiceDocumentContext_invoiceNumber,/Invoice/cbc:ID
5,3,A,,invoiceIssueDate,Text,0..1,,,syntax,invoiceDocumentContext,A0005,/C0003/A0005,$.invoice.invoiceDocumentContext.invoiceIssueDate,invoice.invoiceDocumentContext.invoiceIssueDate,,,invoice_invoiceDocumentContext_invoiceIssueDate,/Invoice/cbc:IssueDate
6,3,A,,invoiceTypeCode,Text,0..1,,,syntax,invoiceDocumentContext,A0006,/C0003/A0006,$.invoice.invoiceDocumentContext.invoiceTypeCode,invoice.invoiceDocumentContext.invoiceTypeCode,,,invoice_invoiceDocumentContext_invoiceTypeCode,/Invoice/cbc:InvoiceTypeCode
7,3,A,,documentCurrencyCode,Text,0..1,,,syntax,invoiceDocumentContext,A0007,/C0003/A0007,$.invoice.invoiceDocumentContext.documentCurrencyCode,invoice.invoiceDocumentContext.documentCurrencyCode,,,invoice_invoiceDocumentContext_documentCurrencyCode,/Invoice/cbc:DocumentCurrencyCode
8,3,A,,taxAccountingCurrencyCode,Text,0..1,,,syntax,invoiceDocumentContext,A0008,/C0003/A0008,$.invoice.invoiceDocumentContext.taxAccountingCurrencyCode,invoice.invoiceDocumentContext.taxAccountingCurrencyCode,,,invoice_invoiceDocumentContext_taxAccountingCurrencyCode,/Invoice/cbc:TaxCurrencyCode
9,3,A,,buyerReference,Text,0..1,,,syntax,invoiceDocumentContext,A0009,/C0003/A0009,$.invoice.invoiceDocumentContext.buyerReference,invoice.invoiceDocumentContext.buyerReference,,,invoice_invoiceDocumentContext_buyerReference,/Invoice/cbc:BuyerReference
10,2,A,,invoiceNote,Text,0..1,,,syntax,invoice,A0010,/C0001/A0010,$.invoice.invoiceNote,invoice.invoiceNote,,,invoice_invoiceNote,/Invoice/cbc:Note
