dataset_id,as_of_date,account,account_name,normal_balance,opening_balance,source_type,source_reference
pca-synthetic-fy2021-v1,2021-04-01,1000,Demo Cash,D,600000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,1010,Demo Petty Cash,D,120000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,1100,Demo Central Ordinary Deposit,D,17049930,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,1110,Demo North Current Deposit,D,20425970,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,1120,Demo Harbor Ordinary Deposit,D,16688910,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,1200,Demo Accounts Receivable,D,1500000,PRE_PERIOD_DERIVED,800001;800002;800003
pca-synthetic-fy2021-v1,2021-04-01,1210,Demo Notes Receivable,D,800000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,1300,Demo Inventory,D,1200000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,1400,Demo Prepaid Expenses,D,300000,PRE_PERIOD_DERIVED,800013;800014;800015
pca-synthetic-fy2021-v1,2021-04-01,1410,Demo Advances Paid,D,250000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,1420,Demo Temporary Payments,D,150000,PRE_PERIOD_DERIVED,800017;800018;800019
pca-synthetic-fy2021-v1,2021-04-01,1430,Demo Input Tax Receivable,D,400000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,1500,Demo Equipment,D,2000000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,1510,Demo Vehicles,D,1200000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,1520,Demo Software,D,700000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,1590,Demo Accumulated Depreciation,C,900000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,2000,Demo Accounts Payable,C,3423720,PRE_PERIOD_DERIVED,800005;800006;800007
pca-synthetic-fy2021-v1,2021-04-01,2010,Demo Notes Payable,C,600000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,2100,Demo Accrued Payables,C,11150830,PRE_PERIOD_DERIVED,800009;800010;800011
pca-synthetic-fy2021-v1,2021-04-01,2110,Demo Payroll Withholding,C,6159250,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,2120,Demo Output Tax Payable,C,450000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,2130,Demo Temporary Receipts,C,120000,PRE_PERIOD_DERIVED,800021;800022;800023
pca-synthetic-fy2021-v1,2021-04-01,2200,Demo Short-term Loans,C,6572000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,2300,Demo Long-term Loans,C,2500000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
