sequence,module,level,type,identifier,name,datatype,multiplicity,association_role,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
1,adc,1,C,,GL Accounts Period Balances,,1..1,,A collection of account balances organized by fiscal period.,勘定科目期間残高,会計期間別に整理した勘定科目残高の集合。,ISO21378-FDIS-T58,$.adc_GLAccountsPeriodBalances,adc,GL Accounts Period Balances,glAccountsPeriodBalances,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances
2,adc,2,C,,Account Balance,,0..*,,An account and its balances across reporting periods.,勘定科目残高,一つの勘定科目と複数会計期間の残高。,UADC-HIERARCHY,$.adc_GLAccountsPeriodBalances.adc_AccountBalance,adc,Account Balance,accountBalance,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance
3,adc,3,A,,GL Account Number,String,1..1,,General-ledger account identifier.,総勘定元帳科目番号,総勘定元帳の科目識別子。,ISO21378-FDIS-T58-01,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_GLAccountNumber,adc,Account Balance,glAccountNumber,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:GLAccountNumber
4,uadc,3,A,,Account Name,String,0..1,,Display name associated with the account identifier.,勘定科目名,科目識別子に対応する表示名。,UADC-PCA-OPENING-C02,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.uadc_AccountName,uadc,Account Balance,accountName,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:uadc_AccountName
5,uadc,3,A,,Normal Balance Indicator,String,0..1,,Normal debit-or-credit orientation of the account; it is not an actual period balance direction.,通常残高方向,科目の通常の借貸方向。実際の期間残高方向とは区別する。,UADC-PCA-OPENING-C03,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.uadc_NormalBalanceIndicator,uadc,Account Balance,normalBalanceIndicator,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:uadc_NormalBalanceIndicator
6,uadc,3,A,,Source Type,String,0..1,,Classification of how the opening balance was obtained.,生成元区分,開始残高を得た方法の区分。,UADC-PCA-OPENING-C05,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.uadc_SourceType,uadc,Account Balance,sourceType,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:uadc_SourceType
7,uadc,3,A,,Source Reference,String,0..1,,Non-semantic trace reference for the generated balance.,生成元参照,生成残高を追跡するための非意味的参照情報。,UADC-PCA-OPENING-C06,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.uadc_SourceReference,uadc,Account Balance,sourceReference,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:uadc_SourceReference
8,uadc,3,A,,Derived From Pre-period,Boolean,0..1,,Indicates whether pre-period synthetic activity derived the opening balance.,前期間導出区分,開始残高が前期間の合成取引から導出されたかを示す。,UADC-PCA-OPENING-C07,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.uadc_DerivedFromPrePeriod,uadc,Account Balance,derivedFromPrePeriod,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:uadc_DerivedFromPrePeriod
9,adc,3,C,,Period Balance,,0..*,,The balance measures for one account in one accounting period.,期間残高,一つの勘定科目における一会計期間の残高情報。,ISO21378-FDIS-T58,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance,adc,GL Accounts Period Balance,periodBalance,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:PeriodBalance
10,adc,4,A,,Fiscal Year,String,1..1,,Fiscal-year identifier for the balance period.,会計年度,会計年度を保持する。,ISO21378-FDIS-T58-02,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance.adc_FiscalYear,adc,GL Accounts Period Balance,fiscalYear,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:PeriodBalance/uadc-adc:FiscalYear
