concept,unit,value,d_cor_accountingEntries,d_cor_detailAccountIdentifier,d_cor_detailTax,d_cor_entryDetail,d_cor_entryHeader,d_cor_subaccount
cor:entryDatePosted,,2021-04-02,1,,,,"[""20210402"",""900050""]",
cor:entryId,,900050,1,,,,"[""20210402"",""900050""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,1-D,"[""20210402"",""900050""]",
cor:taxCategory,,00,1,,1,1-D,"[""20210402"",""900050""]",
cor:accountNumber,,1200,1,1,,1-D,"[""20210402"",""900050""]",
cor:accountDescription,,Demo Accounts Receivable,1,1,,1-D,"[""20210402"",""900050""]",
cor:subaccountDescription,,Demo Sales,1,1,,1-D,"[""20210402"",""900050""]",department
cor:subaccountDescription,,Demo Customer Aurora,1,1,,1-D,"[""20210402"",""900050""]",auxiliary-account
cor:subaccountId,,D01,1,1,,1-D,"[""20210402"",""900050""]",department
cor:subaccountId,,C001,1,1,,1-D,"[""20210402"",""900050""]",auxiliary-account
cor:type,,department,1,1,,1-D,"[""20210402"",""900050""]",department
cor:type,,auxiliary-account,1,1,,1-D,"[""20210402"",""900050""]",auxiliary-account
cor:detailDescription,,Synthetic demo credit sale 900050,1,,,1-D,"[""20210402"",""900050""]",
cor:monetaryAmount,iso4217:JPY,427020,1,,,1-D,"[""20210402"",""900050""]",
cor:debitCreditIndicator,,D,1,,,1-D,"[""20210402"",""900050""]",
cor:amountOfTaxes,iso4217:JPY,38820,1,,1,1-C,"[""20210402"",""900050""]",
cor:taxCategory,,B5,1,,1,1-C,"[""20210402"",""900050""]",
cor:accountNumber,,4020,1,1,,1-C,"[""20210402"",""900050""]",
cor:accountDescription,,Demo Other Operating Revenue,1,1,,1-C,"[""20210402"",""900050""]",
cor:subaccountDescription,,Demo Sales,1,1,,1-C,"[""20210402"",""900050""]",department
cor:subaccountDescription,,Demo Customer Aurora,1,1,,1-C,"[""20210402"",""900050""]",auxiliary-account
cor:subaccountId,,D01,1,1,,1-C,"[""20210402"",""900050""]",department
cor:subaccountId,,C001,1,1,,1-C,"[""20210402"",""900050""]",auxiliary-account
cor:type,,department,1,1,,1-C,"[""20210402"",""900050""]",department
cor:type,,auxiliary-account,1,1,,1-C,"[""20210402"",""900050""]",auxiliary-account
cor:detailDescription,,Synthetic demo credit sale 900050,1,,,1-C,"[""20210402"",""900050""]",
cor:monetaryAmount,iso4217:JPY,427020,1,,,1-C,"[""20210402"",""900050""]",
cor:debitCreditIndicator,,C,1,,,1-C,"[""20210402"",""900050""]",
cor:entryDatePosted,,2021-04-03,1,,,,"[""20210403"",""900001""]",
cor:entryId,,900001,1,,,,"[""20210403"",""900001""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,2-D,"[""20210403"",""900001""]",
cor:taxCategory,,00,1,,1,2-D,"[""20210403"",""900001""]",
cor:accountNumber,,1200,1,1,,2-D,"[""20210403"",""900001""]",
cor:accountDescription,,Demo Accounts Receivable,1,1,,2-D,"[""20210403"",""900001""]",
cor:subaccountDescription,,Demo Sales,1,1,,2-D,"[""20210403"",""900001""]",department
cor:subaccountDescription,,Demo Customer Dawn,1,1,,2-D,"[""20210403"",""900001""]",auxiliary-account
cor:subaccountId,,D01,1,1,,2-D,"[""20210403"",""900001""]",department
cor:subaccountId,,C004,1,1,,2-D,"[""20210403"",""900001""]",auxiliary-account
cor:type,,department,1,1,,2-D,"[""20210403"",""900001""]",department
cor:type,,auxiliary-account,1,1,,2-D,"[""20210403"",""900001""]",auxiliary-account
cor:detailDescription,,Synthetic demo credit sale 900001,1,,,2-D,"[""20210403"",""900001""]",
cor:monetaryAmount,iso4217:JPY,355310,1,,,2-D,"[""20210403"",""900001""]",
cor:debitCreditIndicator,,D,1,,,2-D,"[""20210403"",""900001""]",
cor:amountOfTaxes,iso4217:JPY,32301,1,,1,2-C,"[""20210403"",""900001""]",
cor:taxCategory,,B5,1,,1,2-C,"[""20210403"",""900001""]",
cor:accountNumber,,4010,1,1,,2-C,"[""20210403"",""900001""]",
cor:accountDescription,,Demo Service Revenue,1,1,,2-C,"[""20210403"",""900001""]",
cor:subaccountDescription,,Demo Sales,1,1,,2-C,"[""20210403"",""900001""]",department
cor:subaccountDescription,,Demo Customer Dawn,1,1,,2-C,"[""20210403"",""900001""]",auxiliary-account
cor:subaccountId,,D01,1,1,,2-C,"[""20210403"",""900001""]",department
cor:subaccountId,,C004,1,1,,2-C,"[""20210403"",""900001""]",auxiliary-account
cor:type,,department,1,1,,2-C,"[""20210403"",""900001""]",department
cor:type,,auxiliary-account,1,1,,2-C,"[""20210403"",""900001""]",auxiliary-account
cor:detailDescription,,Synthetic demo credit sale 900001,1,,,2-C,"[""20210403"",""900001""]",
cor:monetaryAmount,iso4217:JPY,355310,1,,,2-C,"[""20210403"",""900001""]",
cor:debitCreditIndicator,,C,1,,,2-C,"[""20210403"",""900001""]",
cor:entryDatePosted,,2021-04-03,1,,,,"[""20210403"",""900012""]",
cor:entryId,,900012,1,,,,"[""20210403"",""900012""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,3-D,"[""20210403"",""900012""]",
cor:taxCategory,,00,1,,1,3-D,"[""20210403"",""900012""]",
cor:accountNumber,,1200,1,1,,3-D,"[""20210403"",""900012""]",
cor:accountDescription,,Demo Accounts Receivable,1,1,,3-D,"[""20210403"",""900012""]",
cor:subaccountDescription,,Demo Sales,1,1,,3-D,"[""20210403"",""900012""]",department
cor:subaccountDescription,,Demo Customer Grove,1,1,,3-D,"[""20210403"",""900012""]",auxiliary-account
cor:subaccountId,,D01,1,1,,3-D,"[""20210403"",""900012""]",department
cor:subaccountId,,C007,1,1,,3-D,"[""20210403"",""900012""]",auxiliary-account
cor:type,,department,1,1,,3-D,"[""20210403"",""900012""]",department
cor:type,,auxiliary-account,1,1,,3-D,"[""20210403"",""900012""]",auxiliary-account
cor:detailDescription,,Synthetic demo credit sale 900012,1,,,3-D,"[""20210403"",""900012""]",
cor:monetaryAmount,iso4217:JPY,555650,1,,,3-D,"[""20210403"",""900012""]",
cor:debitCreditIndicator,,D,1,,,3-D,"[""20210403"",""900012""]",
cor:amountOfTaxes,iso4217:JPY,50514,1,,1,3-C,"[""20210403"",""900012""]",
cor:taxCategory,,B5,1,,1,3-C,"[""20210403"",""900012""]",
cor:accountNumber,,4000,1,1,,3-C,"[""20210403"",""900012""]",
cor:accountDescription,,Demo Product Sales,1,1,,3-C,"[""20210403"",""900012""]",
cor:subaccountDescription,,Demo Sales,1,1,,3-C,"[""20210403"",""900012""]",department
cor:subaccountDescription,,Demo Customer Grove,1,1,,3-C,"[""20210403"",""900012""]",auxiliary-account
cor:subaccountId,,D01,1,1,,3-C,"[""20210403"",""900012""]",department
cor:subaccountId,,C007,1,1,,3-C,"[""20210403"",""900012""]",auxiliary-account
cor:type,,department,1,1,,3-C,"[""20210403"",""900012""]",department
cor:type,,auxiliary-account,1,1,,3-C,"[""20210403"",""900012""]",auxiliary-account
cor:detailDescription,,Synthetic demo credit sale 900012,1,,,3-C,"[""20210403"",""900012""]",
cor:monetaryAmount,iso4217:JPY,555650,1,,,3-C,"[""20210403"",""900012""]",
cor:debitCreditIndicator,,C,1,,,3-C,"[""20210403"",""900012""]",
cor:entryDatePosted,,2021-04-04,1,,,,"[""20210404"",""900017""]",
cor:entryId,,900017,1,,,,"[""20210404"",""900017""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,4-D,"[""20210404"",""900017""]",
cor:taxCategory,,00,1,,1,4-D,"[""20210404"",""900017""]",
cor:accountNumber,,2000,1,1,,4-D,"[""20210404"",""900017""]",
cor:accountDescription,,Demo Accounts Payable,1,1,,4-D,"[""20210404"",""900017""]",
cor:subaccountDescription,,Demo Logistics,1,1,,4-D,"[""20210404"",""900017""]",department
cor:subaccountDescription,,Demo Vendor Prairie,1,1,,4-D,"[""20210404"",""900017""]",auxiliary-account
cor:subaccountId,,D04,1,1,,4-D,"[""20210404"",""900017""]",department
cor:subaccountId,,V006,1,1,,4-D,"[""20210404"",""900017""]",auxiliary-account
cor:type,,department,1,1,,4-D,"[""20210404"",""900017""]",department
cor:type,,auxiliary-account,1,1,,4-D,"[""20210404"",""900017""]",auxiliary-account
cor:detailDescription,,Synthetic demo vendor settlement 900017,1,,,4-D,"[""20210404"",""900017""]",
cor:monetaryAmount,iso4217:JPY,336970,1,,,4-D,"[""20210404"",""900017""]",
cor:debitCreditIndicator,,D,1,,,4-D,"[""20210404"",""900017""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,4-C,"[""20210404"",""900017""]",
cor:taxCategory,,00,1,,1,4-C,"[""20210404"",""900017""]",
cor:accountNumber,,1120,1,1,,4-C,"[""20210404"",""900017""]",
cor:accountDescription,,Demo Harbor Ordinary Deposit,1,1,,4-C,"[""20210404"",""900017""]",
cor:subaccountDescription,,Demo Logistics,1,1,,4-C,"[""20210404"",""900017""]",department
cor:subaccountDescription,,Harbor Demo Bank,1,1,,4-C,"[""20210404"",""900017""]",auxiliary-account
cor:subaccountId,,D04,1,1,,4-C,"[""20210404"",""900017""]",department
cor:subaccountId,,B003,1,1,,4-C,"[""20210404"",""900017""]",auxiliary-account
cor:type,,department,1,1,,4-C,"[""20210404"",""900017""]",department
cor:type,,auxiliary-account,1,1,,4-C,"[""20210404"",""900017""]",auxiliary-account
cor:detailDescription,,Synthetic demo vendor settlement 900017,1,,,4-C,"[""20210404"",""900017""]",
cor:monetaryAmount,iso4217:JPY,336970,1,,,4-C,"[""20210404"",""900017""]",
cor:debitCreditIndicator,,C,1,,,4-C,"[""20210404"",""900017""]",
cor:entryDatePosted,,2021-04-06,1,,,,"[""20210406"",""900006""]",
cor:entryId,,900006,1,,,,"[""20210406"",""900006""]",
cor:amountOfTaxes,iso4217:JPY,33441,1,,1,5-D,"[""20210406"",""900006""]",
cor:taxCategory,,Q5,1,,1,5-D,"[""20210406"",""900006""]",
cor:accountNumber,,5000,1,1,,5-D,"[""20210406"",""900006""]",
cor:accountDescription,,Demo Purchases,1,1,,5-D,"[""20210406"",""900006""]",
cor:subaccountDescription,,Demo Logistics,1,1,,5-D,"[""20210406"",""900006""]",department
cor:subaccountDescription,,Demo Vendor Keystone,1,1,,5-D,"[""20210406"",""900006""]",auxiliary-account
cor:subaccountId,,D04,1,1,,5-D,"[""20210406"",""900006""]",department
cor:subaccountId,,V001,1,1,,5-D,"[""20210406"",""900006""]",auxiliary-account
cor:type,,department,1,1,,5-D,"[""20210406"",""900006""]",department
cor:type,,auxiliary-account,1,1,,5-D,"[""20210406"",""900006""]",auxiliary-account
cor:detailDescription,,Synthetic demo purchase on account 900006,1,,,5-D,"[""20210406"",""900006""]",
cor:monetaryAmount,iso4217:JPY,367850,1,,,5-D,"[""20210406"",""900006""]",
cor:debitCreditIndicator,,D,1,,,5-D,"[""20210406"",""900006""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,5-C,"[""20210406"",""900006""]",
cor:taxCategory,,00,1,,1,5-C,"[""20210406"",""900006""]",
cor:accountNumber,,2000,1,1,,5-C,"[""20210406"",""900006""]",
cor:accountDescription,,Demo Accounts Payable,1,1,,5-C,"[""20210406"",""900006""]",
cor:subaccountDescription,,Demo Logistics,1,1,,5-C,"[""20210406"",""900006""]",department
cor:subaccountDescription,,Demo Vendor Keystone,1,1,,5-C,"[""20210406"",""900006""]",auxiliary-account
cor:subaccountId,,D04,1,1,,5-C,"[""20210406"",""900006""]",department
cor:subaccountId,,V001,1,1,,5-C,"[""20210406"",""900006""]",auxiliary-account
cor:type,,department,1,1,,5-C,"[""20210406"",""900006""]",department
cor:type,,auxiliary-account,1,1,,5-C,"[""20210406"",""900006""]",auxiliary-account
cor:detailDescription,,Synthetic demo purchase on account 900006,1,,,5-C,"[""20210406"",""900006""]",
cor:monetaryAmount,iso4217:JPY,367850,1,,,5-C,"[""20210406"",""900006""]",
cor:debitCreditIndicator,,C,1,,,5-C,"[""20210406"",""900006""]",
cor:entryDatePosted,,2021-04-06,1,,,,"[""20210406"",""900010""]",
cor:entryId,,900010,1,,,,"[""20210406"",""900010""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,6-D,"[""20210406"",""900010""]",
cor:taxCategory,,00,1,,1,6-D,"[""20210406"",""900010""]",
cor:accountNumber,,1200,1,1,,6-D,"[""20210406"",""900010""]",
cor:accountDescription,,Demo Accounts Receivable,1,1,,6-D,"[""20210406"",""900010""]",
cor:subaccountDescription,,Demo Sales,1,1,,6-D,"[""20210406"",""900010""]",department
cor:subaccountDescription,,Demo Customer Aurora,1,1,,6-D,"[""20210406"",""900010""]",auxiliary-account
cor:subaccountId,,D01,1,1,,6-D,"[""20210406"",""900010""]",department
cor:subaccountId,,C001,1,1,,6-D,"[""20210406"",""900010""]",auxiliary-account
cor:type,,department,1,1,,6-D,"[""20210406"",""900010""]",department
cor:type,,auxiliary-account,1,1,,6-D,"[""20210406"",""900010""]",auxiliary-account
cor:detailDescription,,Synthetic demo credit sale 900010,1,,,6-D,"[""20210406"",""900010""]",
cor:monetaryAmount,iso4217:JPY,228470,1,,,6-D,"[""20210406"",""900010""]",
cor:debitCreditIndicator,,D,1,,,6-D,"[""20210406"",""900010""]",
cor:amountOfTaxes,iso4217:JPY,20770,1,,1,6-C,"[""20210406"",""900010""]",
cor:taxCategory,,B5,1,,1,6-C,"[""20210406"",""900010""]",
cor:accountNumber,,4010,1,1,,6-C,"[""20210406"",""900010""]",
cor:accountDescription,,Demo Service Revenue,1,1,,6-C,"[""20210406"",""900010""]",
cor:subaccountDescription,,Demo Sales,1,1,,6-C,"[""20210406"",""900010""]",department
cor:subaccountDescription,,Demo Customer Aurora,1,1,,6-C,"[""20210406"",""900010""]",auxiliary-account
cor:subaccountId,,D01,1,1,,6-C,"[""20210406"",""900010""]",department
cor:subaccountId,,C001,1,1,,6-C,"[""20210406"",""900010""]",auxiliary-account
cor:type,,department,1,1,,6-C,"[""20210406"",""900010""]",department
cor:type,,auxiliary-account,1,1,,6-C,"[""20210406"",""900010""]",auxiliary-account
cor:detailDescription,,Synthetic demo credit sale 900010,1,,,6-C,"[""20210406"",""900010""]",
cor:monetaryAmount,iso4217:JPY,228470,1,,,6-C,"[""20210406"",""900010""]",
cor:debitCreditIndicator,,C,1,,,6-C,"[""20210406"",""900010""]",
cor:entryDatePosted,,2021-04-06,1,,,,"[""20210406"",""900024""]",
cor:entryId,,900024,1,,,,"[""20210406"",""900024""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,7-D,"[""20210406"",""900024""]",
cor:taxCategory,,00,1,,1,7-D,"[""20210406"",""900024""]",
cor:accountNumber,,6000,1,1,,7-D,"[""20210406"",""900024""]",
cor:accountDescription,,Demo Salaries,1,1,,7-D,"[""20210406"",""900024""]",
cor:subaccountDescription,,Demo Administration,1,1,,7-D,"[""20210406"",""900024""]",department
cor:subaccountId,,D02,1,1,,7-D,"[""20210406"",""900024""]",department
cor:type,,department,1,1,,7-D,"[""20210406"",""900024""]",department
cor:detailDescription,,Synthetic demo monthly payroll bundle 900024,1,,,7-D,"[""20210406"",""900024""]",
cor:monetaryAmount,iso4217:JPY,260850,1,,,7-D,"[""20210406"",""900024""]",
cor:debitCreditIndicator,,D,1,,,7-D,"[""20210406"",""900024""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,7-C,"[""20210406"",""900024""]",
cor:taxCategory,,00,1,,1,7-C,"[""20210406"",""900024""]",
cor:accountNumber,,1100,1,1,,7-C,"[""20210406"",""900024""]",
cor:accountDescription,,Demo Central Ordinary Deposit,1,1,,7-C,"[""20210406"",""900024""]",
cor:subaccountDescription,,Demo Administration,1,1,,7-C,"[""20210406"",""900024""]",department
cor:subaccountDescription,,Demo Central Bank,1,1,,7-C,"[""20210406"",""900024""]",auxiliary-account
cor:subaccountId,,D02,1,1,,7-C,"[""20210406"",""900024""]",department
cor:subaccountId,,B001,1,1,,7-C,"[""20210406"",""900024""]",auxiliary-account
cor:type,,department,1,1,,7-C,"[""20210406"",""900024""]",department
cor:type,,auxiliary-account,1,1,,7-C,"[""20210406"",""900024""]",auxiliary-account
cor:detailDescription,,Synthetic demo monthly payroll bundle 900024,1,,,7-C,"[""20210406"",""900024""]",
cor:monetaryAmount,iso4217:JPY,686450,1,,,7-C,"[""20210406"",""900024""]",
cor:debitCreditIndicator,,C,1,,,7-C,"[""20210406"",""900024""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,8-D,"[""20210406"",""900024""]",
cor:taxCategory,,00,1,,1,8-D,"[""20210406"",""900024""]",
cor:accountNumber,,6010,1,1,,8-D,"[""20210406"",""900024""]",
cor:accountDescription,,Demo Statutory Welfare,1,1,,8-D,"[""20210406"",""900024""]",
cor:subaccountDescription,,Demo Administration,1,1,,8-D,"[""20210406"",""900024""]",department
cor:subaccountId,,D02,1,1,,8-D,"[""20210406"",""900024""]",department
cor:type,,department,1,1,,8-D,"[""20210406"",""900024""]",department
cor:detailDescription,,Synthetic demo monthly payroll bundle 900024,1,,,8-D,"[""20210406"",""900024""]",
cor:monetaryAmount,iso4217:JPY,253980,1,,,8-D,"[""20210406"",""900024""]",
cor:debitCreditIndicator,,D,1,,,8-D,"[""20210406"",""900024""]",
cor:detailDescription,,Synthetic demo monthly payroll bundle 900024,1,,,8-C,"[""20210406"",""900024""]",
cor:debitCreditIndicator,,C,1,,,8-C,"[""20210406"",""900024""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,9-D,"[""20210406"",""900024""]",
cor:taxCategory,,00,1,,1,9-D,"[""20210406"",""900024""]",
cor:accountNumber,,2110,1,1,,9-D,"[""20210406"",""900024""]",
cor:accountDescription,,Demo Payroll Withholding,1,1,,9-D,"[""20210406"",""900024""]",
cor:subaccountDescription,,Demo Administration,1,1,,9-D,"[""20210406"",""900024""]",department
cor:subaccountId,,D02,1,1,,9-D,"[""20210406"",""900024""]",department
cor:type,,department,1,1,,9-D,"[""20210406"",""900024""]",department
cor:detailDescription,,Synthetic demo monthly payroll bundle 900024,1,,,9-D,"[""20210406"",""900024""]",
cor:monetaryAmount,iso4217:JPY,171620,1,,,9-D,"[""20210406"",""900024""]",
cor:debitCreditIndicator,,D,1,,,9-D,"[""20210406"",""900024""]",
cor:detailDescription,,Synthetic demo monthly payroll bundle 900024,1,,,9-C,"[""20210406"",""900024""]",
cor:debitCreditIndicator,,C,1,,,9-C,"[""20210406"",""900024""]",
cor:entryDatePosted,,2021-04-06,1,,,,"[""20210406"",""900027""]",
cor:entryId,,900027,1,,,,"[""20210406"",""900027""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,10-D,"[""20210406"",""900027""]",
cor:taxCategory,,00,1,,1,10-D,"[""20210406"",""900027""]",
cor:accountNumber,,2000,1,1,,10-D,"[""20210406"",""900027""]",
cor:accountDescription,,Demo Accounts Payable,1,1,,10-D,"[""20210406"",""900027""]",
cor:subaccountDescription,,Demo Logistics,1,1,,10-D,"[""20210406"",""900027""]",department
cor:subaccountDescription,,Demo Vendor Prairie,1,1,,10-D,"[""20210406"",""900027""]",auxiliary-account
cor:subaccountId,,D04,1,1,,10-D,"[""20210406"",""900027""]",department
cor:subaccountId,,V006,1,1,,10-D,"[""20210406"",""900027""]",auxiliary-account
cor:type,,department,1,1,,10-D,"[""20210406"",""900027""]",department
cor:type,,auxiliary-account,1,1,,10-D,"[""20210406"",""900027""]",auxiliary-account
cor:detailDescription,,Synthetic demo vendor settlement 900027,1,,,10-D,"[""20210406"",""900027""]",
cor:monetaryAmount,iso4217:JPY,110390,1,,,10-D,"[""20210406"",""900027""]",
cor:debitCreditIndicator,,D,1,,,10-D,"[""20210406"",""900027""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,10-C,"[""20210406"",""900027""]",
cor:taxCategory,,00,1,,1,10-C,"[""20210406"",""900027""]",
cor:accountNumber,,1100,1,1,,10-C,"[""20210406"",""900027""]",
cor:accountDescription,,Demo Central Ordinary Deposit,1,1,,10-C,"[""20210406"",""900027""]",
cor:subaccountDescription,,Demo Logistics,1,1,,10-C,"[""20210406"",""900027""]",department
cor:subaccountDescription,,Demo Central Bank,1,1,,10-C,"[""20210406"",""900027""]",auxiliary-account
cor:subaccountId,,D04,1,1,,10-C,"[""20210406"",""900027""]",department
cor:subaccountId,,B001,1,1,,10-C,"[""20210406"",""900027""]",auxiliary-account
cor:type,,department,1,1,,10-C,"[""20210406"",""900027""]",department
cor:type,,auxiliary-account,1,1,,10-C,"[""20210406"",""900027""]",auxiliary-account
cor:detailDescription,,Synthetic demo vendor settlement 900027,1,,,10-C,"[""20210406"",""900027""]",
cor:monetaryAmount,iso4217:JPY,110390,1,,,10-C,"[""20210406"",""900027""]",
cor:debitCreditIndicator,,C,1,,,10-C,"[""20210406"",""900027""]",
cor:entryDatePosted,,2021-04-07,1,,,,"[""20210407"",""900045""]",
cor:entryId,,900045,1,,,,"[""20210407"",""900045""]",
cor:amountOfTaxes,iso4217:JPY,8689,1,,1,11-D,"[""20210407"",""900045""]",
cor:taxCategory,,Q5,1,,1,11-D,"[""20210407"",""900045""]",
cor:accountNumber,,5000,1,1,,11-D,"[""20210407"",""900045""]",
cor:accountDescription,,Demo Purchases,1,1,,11-D,"[""20210407"",""900045""]",
cor:subaccountDescription,,Demo Logistics,1,1,,11-D,"[""20210407"",""900045""]",department
cor:subaccountDescription,,Demo Vendor Prairie,1,1,,11-D,"[""20210407"",""900045""]",auxiliary-account
cor:subaccountId,,D04,1,1,,11-D,"[""20210407"",""900045""]",department
cor:subaccountId,,V006,1,1,,11-D,"[""20210407"",""900045""]",auxiliary-account
cor:type,,department,1,1,,11-D,"[""20210407"",""900045""]",department
cor:type,,auxiliary-account,1,1,,11-D,"[""20210407"",""900045""]",auxiliary-account
cor:detailDescription,,Synthetic demo purchase on account 900045,1,,,11-D,"[""20210407"",""900045""]",
cor:monetaryAmount,iso4217:JPY,95580,1,,,11-D,"[""20210407"",""900045""]",
cor:debitCreditIndicator,,D,1,,,11-D,"[""20210407"",""900045""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,11-C,"[""20210407"",""900045""]",
cor:taxCategory,,00,1,,1,11-C,"[""20210407"",""900045""]",
cor:accountNumber,,2000,1,1,,11-C,"[""20210407"",""900045""]",
cor:accountDescription,,Demo Accounts Payable,1,1,,11-C,"[""20210407"",""900045""]",
