sequence,level,type,id,name,datatype,multiplicity,column,semantic_path,occurrence_mode,group_key,row_role,max_occurs,default_value,transformation,required,note
0001,1,C,CO23,Accounting Entries,,1..*,,$.cor_AccountingEntries,single,,group,,,,,XBRL GL Next会計仕訳ルート。
0137,2,C,CO23-03,Entry_ Header,,0..*,,$.cor_AccountingEntries.cor_EntryHeader,keyed_rows,"[""Column2""]",group,,,,true,PCA物理列Column2（伝票番号）でEntryHeader occurrenceを識別する。
0150,3,A,CO22-13,Entry ID,String,0..1,Column2,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,,,,,,,true,仕訳group_keyの値でもある。 物理列=Column2、ordinal=2。
0176,3,C,CO22-39,Entry_ Detail (共通テンプレート),,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,source_rows,,driver,,,,true,元CSVにEntryDetail列はない。各PCA入力行につき共通テンプレートを1件作り、selector付きの側別子行からD/CのEntryDetail occurrenceを生成する。
0385,4,A,CO21-34,Debit/Credit Indicator (借方),Token,0..1,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DebitCreditIndicator,,,,,D,,true,Flat CSVに対応列がないため定数Dを設定する。Detail selectorと同じ値。
0360,4,C,CO21-29,Detail_ Account Identifier (借方),,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier,single,,group,,,,,最新版Accounting Entries HMD（398行）に解決済み。条件predicateはBinding情報でありHMD照合時に除去する。
0375,5,C,CO17-15,Subaccount: department (借方),,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'],single,,group,,,,,最新版HMDのSubaccount枝に解決済み。Type='department'で部門occurrenceを識別する。
0378,6,A,CO15-03,Type: department (借方),Token,0..1,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_Type,,,,,department,,true,部門を識別するプロファイル値departmentをdefault_valueから生成する。predicateはBinding情報でありHMD照合時に除去する。
0377,6,A,CO15-02,Subaccount ID: department (借方),String,0..1,Column6,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountID,,,,,,,,最新版HMDのSubaccount枝に解決済み。Type='department'で部門occurrenceを識別する。 物理列=Column6、ordinal=6。
0376,6,A,CO15-01,Subaccount Description: department (借方),String,0..1,Column7,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountDescription,,,,,,,,最新版HMDのSubaccount枝に解決済み。Type='department'で部門occurrenceを識別する。 物理列=Column7、ordinal=7。
0361,5,A,CO17-01,Account Number (借方),String,0..1,Column8,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_AccountNumber,,,,,,,,最新版Accounting Entries HMD（398行）に解決済み。条件predicateはBinding情報でありHMD照合時に除去する。 物理列=Column8、ordinal=8。
