sequence,syntax_sequence,level,structured_csv_level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,semantic_path,label_local,definition_local,structured_csv_column,element,xpath,default_value,transformation,required,note
11,0000.0003.0002.0009.0001,2,2,A,,Project reference,Identifier,0..1,,"Project-defined Project reference in the Invoice context, represented as Identifier.",en16931,Invoice,BT-11,$.invoice.projectReference,,,ProjectReference,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SpecifiedProcuringProject[ram:Name='Project reference']/ram:ID,,,false,
12,0000.0003.0002.0007.0001,2,2,A,,Contract reference,Identifier,0..1,,"Project-defined Contract reference in the Invoice context, represented as Identifier.",en16931,Invoice,BT-12,$.invoice.contractReference,,,ContractReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:ContractReferencedDocument/ram:IssuerAssignedID,,,false,
13,0000.0003.0002.0006.0001,2,2,A,,Purchase order reference,Identifier,0..1,,"Project-defined Purchase order reference in the Invoice context, represented as Identifier.",en16931,Invoice,BT-13,$.invoice.purchaseOrderReference,,,PurchaseOrderReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerOrderReferencedDocument/ram:IssuerAssignedID,,,false,
14,0000.0003.0002.0005.0001,2,2,A,,Sales order reference,Identifier,0..1,,"Project-defined Sales order reference in the Invoice context, represented as Identifier.",en16931,Invoice,BT-14,$.invoice.salesOrderReference,,,SalesOrderReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerOrderReferencedDocument/ram:IssuerAssignedID,,,false,
15,0000.0003.0003.0004.0001,2,2,A,,Receiving advice reference,Identifier,0..1,,"Project-defined Receiving advice reference in the Invoice context, represented as Identifier.",en16931,Invoice,BT-15,$.invoice.receivingAdviceReference,,,ReceivingAdviceReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ReceivingAdviceReferencedDocument/ram:IssuerAssignedID,,,false,
16,0000.0003.0003.0003.0001,2,2,A,,Despatch advice reference,Identifier,0..1,,"Project-defined Despatch advice reference in the Invoice context, represented as Identifier.",en16931,Invoice,BT-16,$.invoice.despatchAdviceReference,,,DespatchAdviceReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:DespatchAdviceReferencedDocument/ram:IssuerAssignedID,,,false,
17,0000.0003.0002.0008.0001,2,2,A,,Tender or lot reference,Identifier,0..1,,"Project-defined Tender or lot reference in the Invoice context, represented as Identifier.",en16931,Invoice,BT-17,$.invoice.tenderOrLotReference,,,TenderOrLotReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='50']/ram:IssuerAssignedID,,,false,
18,0000.0003.0002.0008.0001,2,2,A,,Invoiced object identifier,Identifier,0..1,,"Project-defined Invoiced object identifier in the Invoice context, represented as Identifier.",en16931,Invoice,BT-18,$.invoice.invoicedObjectIdentifier,,,InvoicedObjectIdentifier,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='130']/ram:IssuerAssignedID,,,false,
19,0000.0003.0002.0008.0006,2,2,A,,Scheme identifier,Identifier,0..1,,"Project-defined Scheme identifier in the Invoice context, represented as Identifier.",en16931,Invoice,BT-18-1,$.invoice.invoicedObjectIdentifierSchemeIdentifier,,,SchemeIdentifier,ram:ReferenceTypeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='130']/ram:ReferenceTypeCode,,,false,
20,0000.0003.0004.0013.0001,2,2,A,,Buyer accounting reference,Text,0..1,,"Project-defined Buyer accounting reference in the Invoice context, represented as Text.",en16931,Invoice,BT-19,$.invoice.buyerAccountingReference,,,BuyerAccountingReference,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ReceivableSpecifiedTradeAccountingAccount/ram:ID,,,false,
21,0000.0003.0004.0010.0001,2,2,A,,Payment terms,Text,0..1,,"Project-defined Payment terms in the Invoice context, represented as Text.",en16931,Invoice,BT-20,$.invoice.paymentTerms,,,PaymentTerms,ram:Description,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradePaymentTerms/ram:Description,,,false,
22,0000.0002.0004,2,2,C,,Invoice note,,0..*,,"Project-defined Invoice note in the Invoice note context, represented as structured information.",en16931,Invoice note,BG-1,$.invoice.invoiceNote,,,InvoiceNote,ram:IncludedNote,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote,,,false,
23,0000.0002.0004.0002,3,3,A,,Invoice note subject code,Code,0..1,,"Project-defined Invoice note subject code in the Invoice note context, represented as Code.",en16931,Invoice note,BT-21,$.invoice.invoiceNote.invoiceNoteSubjectCode,,,InvoiceNoteSubjectCode,ram:SubjectCode,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote/ram:SubjectCode,,,false,
24,0000.0002.0004.0001,3,3,A,,Invoice note,Text,1..1,,"Project-defined Invoice note in the Invoice note context, represented as Text.",en16931,Invoice note,BT-22,$.invoice.invoiceNote.invoiceNote,,,InvoiceNote,ram:Content,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote/ram:Content,,,true,
25,0000.0001,2,2,C,,Process control,,1..1,,"Project-defined Process control in the Process control context, represented as structured information.",en16931,Process control,BG-2,$.invoice.processControl,,,ProcessControl,rsm:ExchangedDocumentContext,/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext,,,true,
26,0000.0001.0001.0001,3,3,A,,Business process type,Identifier,0..1,,"Project-defined Business process type in the Process control context, represented as Identifier.",en16931,Process control,BT-23,$.invoice.processControl.businessProcessType,,,BusinessProcessType,ram:ID,/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:BusinessProcessSpecifiedDocumentContextParameter/ram:ID,,,false,
27,0000.0001.0002.0001,3,3,A,,Specification identifier,Identifier,1..1,,"Project-defined Specification identifier in the Process control context, represented as Identifier.",en16931,Process control,BT-24,$.invoice.processControl.specificationIdentifier,,,SpecificationIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:GuidelineSpecifiedDocumentContextParameter/ram:ID,,,true,
28,0000.0003.0004.0012,2,2,C,,Preceding invoice reference,,0..*,,"Project-defined Preceding invoice reference in the Preceding invoice reference context, represented as structured information.",en16931,Preceding invoice reference,BG-3,$.invoice.precedingInvoiceReference,,,PrecedingInvoiceReference,ram:InvoiceReferencedDocument,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceReferencedDocument,,,false,
29,0000.0003.0004.0012.0001,3,3,A,,Preceding invoice reference,Identifier,1..1,,"Project-defined Preceding invoice reference in the Preceding invoice reference context, represented as Identifier.",en16931,Preceding invoice reference,BT-25,$.invoice.precedingInvoiceReference.precedingInvoiceReference,,,PrecedingInvoiceReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceReferencedDocument/ram:IssuerAssignedID,,,true,
30,0000.0003.0004.0012.0002.0001,3,3,A,,Preceding invoice issue date,Date,0..1,,"Project-defined Preceding invoice issue date in the Preceding invoice reference context, represented as Date.",en16931,Preceding invoice reference,BT-26,$.invoice.precedingInvoiceReference.precedingInvoiceIssueDate,,,PrecedingInvoiceIssueDate,qdt:DateTimeString,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceReferencedDocument/ram:FormattedIssueDateTime/qdt:DateTimeString,,CII_DATE_102,false,
31,0000.0003.0002.0002,2,2,C,,Seller,,1..1,,"Project-defined Seller in the Seller context, represented as structured information.",en16931,Seller,BG-4,$.invoice.seller,,,Seller,ram:SellerTradeParty,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty,,,true,
32,0000.0003.0002.0002.0003,3,3,A,,Seller name,Text,1..1,,"Project-defined Seller name in the Seller context, represented as Text.",en16931,Seller,BT-27,$.invoice.seller.sellerName,,,SellerName,ram:Name,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:Name,,,true,
33,0000.0003.0002.0002.0005.0002,3,3,A,,Seller trading name,Text,0..1,,"Project-defined Seller trading name in the Seller context, represented as Text.",en16931,Seller,BT-28,$.invoice.seller.sellerTradingName,,,SellerTradingName,ram:TradingBusinessName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization/ram:TradingBusinessName,,,false,
37,0000.0003.0002.0002.0005.0001,3,3,A,,Seller legal registration identifier,Identifier,0..1,,"Project-defined Seller legal registration identifier in the Seller context, represented as Identifier.",en16931,Seller,BT-30,$.invoice.seller.sellerLegalRegistrationIdentifier,,,SellerLegalRegistrationIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization/ram:ID,,,false,
38,0000.0003.0002.0002.0005.0001@schemeID,3,3,A,,Scheme identifier,Identifier,0..1,,"Project-defined Scheme identifier in the Seller context, represented as Identifier.",en16931,Seller,BT-30-1,$.invoice.seller.sellerLegalRegistrationIdentifierSchemeIdentifier,,,SchemeIdentifier,@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization/ram:ID/@schemeID,,,false,
39,0000.0003.0002.0002.0009.0001,3,3,A,,Seller VAT identifier,Identifier,0..1,,"Project-defined Seller VAT identifier in the Seller context, represented as Identifier.",en16931,Seller,BT-31,$.invoice.seller.sellerVatIdentifier,,,SellerVatIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedTaxRegistration/ram:ID[@schemeID='VA'],,,false,
40,0000.0003.0002.0002.0009.0001,3,3,A,,Seller tax registration identifier,Identifier,0..1,,"Project-defined Seller tax registration identifier in the Seller context, represented as Identifier.",en16931,Seller,BT-32,$.invoice.seller.sellerTaxRegistrationIdentifier,,,SellerTaxRegistrationIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedTaxRegistration/ram:ID[@schemeID='FC'],,,false,
41,0000.0003.0002.0002.0004,3,3,A,,Seller additional legal information,Text,0..1,,"Project-defined Seller additional legal information in the Seller context, represented as Text.",en16931,Seller,BT-33,$.invoice.seller.sellerAdditionalLegalInformation,,,SellerAdditionalLegalInformation,ram:Description,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:Description,,,false,
42,0000.0003.0002.0002.0008.0001,3,3,A,,Seller electronic address,Identifier,0..1,,"Project-defined Seller electronic address in the Seller context, represented as Identifier.",en16931,Seller,BT-34,$.invoice.seller.sellerElectronicAddress,,,SellerElectronicAddress,ram:URIID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:URIUniversalCommunication/ram:URIID,,,false,
43,0000.0003.0002.0002.0008.0001@schemeID,3,3,A,,Scheme identifier,Identifier,1..1,,"Project-defined Scheme identifier in the Seller context, represented as Identifier.",en16931,Seller,BT-34-1,$.invoice.seller.sellerElectronicAddressSchemeIdentifier,,,SchemeIdentifier,@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:URIUniversalCommunication/ram:URIID/@schemeID,,,true,
44,0000.0003.0002.0002.0007,3,3,C,,Seller postal address,,1..1,,"Project-defined Seller postal address in the Seller postal address context, represented as structured information.",en16931,Seller postal address,BG-5,$.invoice.seller.sellerPostalAddress,,,SellerPostalAddress,ram:PostalTradeAddress,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress,,,true,
45,0000.0003.0002.0002.0007.0002,4,4,A,,Seller address line 1,Text,0..1,,"Project-defined Seller address line 1 in the Seller postal address context, represented as Text.",en16931,Seller postal address,BT-35,$.invoice.seller.sellerPostalAddress.sellerAddressLine1,,,SellerAddressLine1,ram:LineOne,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineOne,,,false,
46,0000.0003.0002.0002.0007.0003,4,4,A,,Seller address line 2,Text,0..1,,"Project-defined Seller address line 2 in the Seller postal address context, represented as Text.",en16931,Seller postal address,BT-36,$.invoice.seller.sellerPostalAddress.sellerAddressLine2,,,SellerAddressLine2,ram:LineTwo,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineTwo,,,false,
47,0000.0003.0002.0002.0007.0004,4,4,A,,Seller address line 3,Text,0..1,,"Project-defined Seller address line 3 in the Seller postal address context, represented as Text.",en16931,Seller postal address,BT-162,$.invoice.seller.sellerPostalAddress.sellerAddressLine3,,,SellerAddressLine3,ram:LineThree,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineThree,,,false,
48,0000.0003.0002.0002.0007.0005,4,4,A,,Seller city,Text,1..1,,"Project-defined Seller city in the Seller postal address context, represented as Text.",en16931,Seller postal address,BT-37,$.invoice.seller.sellerPostalAddress.sellerCity,,,SellerCity,ram:CityName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:CityName,,,true,
49,0000.0003.0002.0002.0007.0001,4,4,A,,Seller post code,Text,1..1,,"Project-defined Seller post code in the Seller postal address context, represented as Text.",en16931,Seller postal address,BT-38,$.invoice.seller.sellerPostalAddress.sellerPostCode,,,SellerPostCode,ram:PostcodeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,,,true,
50,0000.0003.0002.0002.0007.0007,4,4,A,,Seller country subdivision,Text,0..1,,"Project-defined Seller country subdivision in the Seller postal address context, represented as Text.",en16931,Seller postal address,BT-39,$.invoice.seller.sellerPostalAddress.sellerCountrySubdivision,,,SellerCountrySubdivision,ram:CountrySubDivisionName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,,,false,
51,0000.0003.0002.0002.0007.0006,4,4,A,,Seller country code,Code,1..1,,"Project-defined Seller country code in the Seller postal address context, represented as Code.",en16931,Seller postal address,BT-40,$.invoice.seller.sellerPostalAddress.sellerCountryCode,,,SellerCountryCode,ram:CountryID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:CountryID,,,true,
52,0000.0003.0002.0002.0006,3,3,C,,Seller contact,,0..1,,"Project-defined Seller contact in the Seller contact context, represented as structured information.",en16931,Seller contact,BG-6,$.invoice.seller.sellerContact,,,SellerContact,ram:DefinedTradeContact,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact,,,false,
53,0000.0003.0002.0002.0006.0001,4,4,A,,Seller contact point,Text,0..1,,"Project-defined Seller contact point in the Seller contact context, represented as Text.",en16931,Seller contact,BT-41,$.invoice.seller.sellerContact.sellerContactPoint,,,SellerContactPoint,ram:PersonName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:PersonName,,,false,
54,0000.0003.0002.0002.0006.0003.0001,4,4,A,,Seller contact telephone number,Text,0..1,,"Project-defined Seller contact telephone number in the Seller contact context, represented as Text.",en16931,Seller contact,BT-42,$.invoice.seller.sellerContact.sellerContactTelephoneNumber,,,SellerContactTelephoneNumber,ram:CompleteNumber,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:TelephoneUniversalCommunication/ram:CompleteNumber,,,false,
55,0000.0003.0002.0002.0006.0004.0001,4,4,A,,Seller contact email address,Text,0..1,,"Project-defined Seller contact email address in the Seller contact context, represented as Text.",en16931,Seller contact,BT-43,$.invoice.seller.sellerContact.sellerContactEmailAddress,,,SellerContactEmailAddress,ram:URIID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:EmailURIUniversalCommunication/ram:URIID,,,false,
56,0000.0003.0002.0003,2,2,C,,Buyer,,1..1,,"Project-defined Buyer in the Buyer context, represented as structured information.",en16931,Buyer,BG-7,$.invoice.buyer,,,Buyer,ram:BuyerTradeParty,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty,,,true,
57,0000.0003.0002.0003.0003,3,3,A,,Buyer name,Text,1..1,,"Project-defined Buyer name in the Buyer context, represented as Text.",en16931,Buyer,BT-44,$.invoice.buyer.buyerName,,,BuyerName,ram:Name,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:Name,,,true,
58,0000.0003.0002.0003.0004.0002,3,3,A,,Buyer trading name,Text,0..1,,"Project-defined Buyer trading name in the Buyer context, represented as Text.",en16931,Buyer,BT-45,$.invoice.buyer.buyerTradingName,,,BuyerTradingName,ram:TradingBusinessName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization/ram:TradingBusinessName,,,false,
62,0000.0003.0002.0003.0004.0001,3,3,A,,Buyer legal registration identifier,Identifier,0..1,,"Project-defined Buyer legal registration identifier in the Buyer context, represented as Identifier.",en16931,Buyer,BT-47,$.invoice.buyer.buyerLegalRegistrationIdentifier,,,BuyerLegalRegistrationIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization/ram:ID,,,false,
63,0000.0003.0002.0003.0004.0001@schemeID,3,3,A,,Scheme identifier,Identifier,0..1,,"Project-defined Scheme identifier in the Buyer context, represented as Identifier.",en16931,Buyer,BT-47-1,$.invoice.buyer.buyerLegalRegistrationIdentifierSchemeIdentifier,,,SchemeIdentifier,@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization/ram:ID/@schemeID,,,false,
64,0000.0003.0002.0003.0008.0001,3,3,A,,Buyer VAT identifier,Identifier,0..1,,"Project-defined Buyer VAT identifier in the Buyer context, represented as Identifier.",en16931,Buyer,BT-48,$.invoice.buyer.buyerVatIdentifier,,,BuyerVatIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedTaxRegistration/ram:ID[@schemeID='VA'],,,false,
65,0000.0003.0002.0003.0007.0001,3,3,A,,Buyer electronic address,Identifier,0..1,,"Project-defined Buyer electronic address in the Buyer context, represented as Identifier.",en16931,Buyer,BT-49,$.invoice.buyer.buyerElectronicAddress,,,BuyerElectronicAddress,ram:URIID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:URIUniversalCommunication/ram:URIID,,,false,
66,0000.0003.0002.0003.0007.0001@schemeID,3,3,A,,Scheme identifier,Identifier,1..1,,"Project-defined Scheme identifier in the Buyer context, represented as Identifier.",en16931,Buyer,BT-49-1,$.invoice.buyer.buyerElectronicAddressSchemeIdentifier,,,SchemeIdentifier,@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:URIUniversalCommunication/ram:URIID/@schemeID,,,true,
67,0000.0003.0002.0003.0006,3,3,C,,Buyer postal address,,1..1,,"Project-defined Buyer postal address in the Buyer postal address context, represented as structured information.",en16931,Buyer postal address,BG-8,$.invoice.buyer.buyerPostalAddress,,,BuyerPostalAddress,ram:PostalTradeAddress,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress,,,true,
68,0000.0003.0002.0003.0006.0002,4,4,A,,Buyer address line 1,Text,0..1,,"Project-defined Buyer address line 1 in the Buyer postal address context, represented as Text.",en16931,Buyer postal address,BT-50,$.invoice.buyer.buyerPostalAddress.buyerAddressLine1,,,BuyerAddressLine1,ram:LineOne,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineOne,,,false,
69,0000.0003.0002.0003.0006.0003,4,4,A,,Buyer address line 2,Text,0..1,,"Project-defined Buyer address line 2 in the Buyer postal address context, represented as Text.",en16931,Buyer postal address,BT-51,$.invoice.buyer.buyerPostalAddress.buyerAddressLine2,,,BuyerAddressLine2,ram:LineTwo,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineTwo,,,false,
70,0000.0003.0002.0003.0006.0004,4,4,A,,Buyer address line 3,Text,0..1,,"Project-defined Buyer address line 3 in the Buyer postal address context, represented as Text.",en16931,Buyer postal address,BT-163,$.invoice.buyer.buyerPostalAddress.buyerAddressLine3,,,BuyerAddressLine3,ram:LineThree,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineThree,,,false,
71,0000.0003.0002.0003.0006.0005,4,4,A,,Buyer city,Text,1..1,,"Project-defined Buyer city in the Buyer postal address context, represented as Text.",en16931,Buyer postal address,BT-52,$.invoice.buyer.buyerPostalAddress.buyerCity,,,BuyerCity,ram:CityName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CityName,,,true,
72,0000.0003.0002.0003.0006.0001,4,4,A,,Buyer post code,Text,1..1,,"Project-defined Buyer post code in the Buyer postal address context, represented as Text.",en16931,Buyer postal address,BT-53,$.invoice.buyer.buyerPostalAddress.buyerPostCode,,,BuyerPostCode,ram:PostcodeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,,,true,
73,0000.0003.0002.0003.0006.0007,4,4,A,,Buyer country subdivision,Text,0..1,,"Project-defined Buyer country subdivision in the Buyer postal address context, represented as Text.",en16931,Buyer postal address,BT-54,$.invoice.buyer.buyerPostalAddress.buyerCountrySubdivision,,,BuyerCountrySubdivision,ram:CountrySubDivisionName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,,,false,
74,0000.0003.0002.0003.0006.0006,4,4,A,,Buyer country code,Code,1..1,,"Project-defined Buyer country code in the Buyer postal address context, represented as Code.",en16931,Buyer postal address,BT-55,$.invoice.buyer.buyerPostalAddress.buyerCountryCode,,,BuyerCountryCode,ram:CountryID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CountryID,,,true,
75,0000.0003.0002.0003.0005,3,3,C,,Buyer contact,,0..1,,"Project-defined Buyer contact in the Buyer contact context, represented as structured information.",en16931,Buyer contact,BG-9,$.invoice.buyer.buyerContact,,,BuyerContact,ram:DefinedTradeContact,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact,,,false,
76,0000.0003.0002.0003.0005.0001,4,4,A,,Buyer contact point,Text,0..1,,"Project-defined Buyer contact point in the Buyer contact context, represented as Text.",en16931,Buyer contact,BT-56,$.invoice.buyer.buyerContact.buyerContactPoint,,,BuyerContactPoint,ram:PersonName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:PersonName,,,false,
77,0000.0003.0002.0003.0005.0003.0001,4,4,A,,Buyer contact telephone number,Text,0..1,,"Project-defined Buyer contact telephone number in the Buyer contact context, represented as Text.",en16931,Buyer contact,BT-57,$.invoice.buyer.buyerContact.buyerContactTelephoneNumber,,,BuyerContactTelephoneNumber,ram:CompleteNumber,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:TelephoneUniversalCommunication/ram:CompleteNumber,,,false,
78,0000.0003.0002.0003.0005.0004.0001,4,4,A,,Buyer contact email address,Text,0..1,,"Project-defined Buyer contact email address in the Buyer contact context, represented as Text.",en16931,Buyer contact,BT-58,$.invoice.buyer.buyerContact.buyerContactEmailAddress,,,BuyerContactEmailAddress,ram:URIID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:EmailURIUniversalCommunication/ram:URIID,,,false,
