sequence,level,type,name,datatype,multiplicity,column,semantic_path,occurrence_mode,group_key,row_role,max_occurs,default_value,transformation,required,note
9101,1,P,伝票日付,,,C1,,,,header,,,,,PCA physical interface header declaration
9102,1,P,伝票番号,,,C2,,,,header,,,,,PCA physical interface header declaration
9103,1,P,仕訳区分,,,C3,,,,header,,,,,PCA physical interface header declaration
9104,1,P,管理仕訳区分,,,C4,,,,header,,,,,PCA physical interface header declaration
9105,1,P,借方税計算モード,,,C5,,,,header,,,,,PCA physical interface header declaration
9106,1,P,借方部門コード,,,C6,,,,header,,,,,PCA physical interface header declaration
9107,1,P,借方部門名,,,C7,,,,header,,,,,PCA physical interface header declaration
9108,1,P,借方科目コード,,,C8,,,,header,,,,,PCA physical interface header declaration
9109,1,P,借方科目名,,,C9,,,,header,,,,,PCA physical interface header declaration
9110,1,P,借方補助科目コード,,,C10,,,,header,,,,,PCA physical interface header declaration
9111,1,P,借方補助科目名,,,C11,,,,header,,,,,PCA physical interface header declaration
9112,1,P,借方税区分コード,,,C12,,,,header,,,,,PCA physical interface header declaration
9113,1,P,借方税区分名,,,C13,,,,header,,,,,PCA physical interface header declaration
9114,1,P,借方金額,,,C14,,,,header,,,,,PCA physical interface header declaration
9115,1,P,借方消費税額,,,C15,,,,header,,,,,PCA physical interface header declaration
9116,1,P,貸方税計算モード,,,C16,,,,header,,,,,PCA physical interface header declaration
9117,1,P,貸方部門コード,,,C17,,,,header,,,,,PCA physical interface header declaration
9118,1,P,貸方部門名,,,C18,,,,header,,,,,PCA physical interface header declaration
9119,1,P,貸方科目コード,,,C19,,,,header,,,,,PCA physical interface header declaration
9120,1,P,貸方科目名,,,C20,,,,header,,,,,PCA physical interface header declaration
9121,1,P,貸方補助科目コード,,,C21,,,,header,,,,,PCA physical interface header declaration
9122,1,P,貸方補助科目名,,,C22,,,,header,,,,,PCA physical interface header declaration
9123,1,P,貸方税区分コード,,,C23,,,,header,,,,,PCA physical interface header declaration
9124,1,P,貸方税区分名,,,C24,,,,header,,,,,PCA physical interface header declaration
9125,1,P,貸方金額,,,C25,,,,header,,,,,PCA physical interface header declaration
9126,1,P,貸方消費税額,,,C26,,,,header,,,,,PCA physical interface header declaration
9127,1,P,摘要文,,,C27,,,,header,,,,,PCA physical interface header declaration
9128,1,P,数字１,,,C28,,,,header,,,,,PCA physical interface header declaration
9129,1,P,数字２,,,C29,,,,header,,,,,PCA physical interface header declaration
