sequence,level,type,name,datatype,multiplicity,column,semantic_path,occurrence_mode,group_key,row_role,max_occurs,default_value,transformation,required,note
9201,1,P,月種別,,,C1,,,,header,,,,,EPSON physical interface header declaration
9202,1,P,種類,,,C2,,,,header,,,,,EPSON physical interface header declaration
9203,1,P,形式,,,C3,,,,header,,,,,EPSON physical interface header declaration
9204,1,P,作成方法,,,C4,,,,header,,,,,EPSON physical interface header declaration
9205,1,P,付箋,,,C5,,,,header,,,,,EPSON physical interface header declaration
9206,1,P,伝票日付,,,C6,,,,header,,,,,EPSON physical interface header declaration
9207,1,P,伝票番号,,,C7,,,,header,,,,,EPSON physical interface header declaration
9208,1,P,伝票摘要,,,C8,,,,header,,,,,EPSON physical interface header declaration
9209,1,P,枝番,,,C9,,,,header,,,,,EPSON physical interface header declaration
9210,1,P,借方部門,,,C10,,,,header,,,,,EPSON physical interface header declaration
9211,1,P,借方部門名,,,C11,,,,header,,,,,EPSON physical interface header declaration
9212,1,P,借方科目,,,C12,,,,header,,,,,EPSON physical interface header declaration
9213,1,P,借方科目名,,,C13,,,,header,,,,,EPSON physical interface header declaration
9214,1,P,借方補助,,,C14,,,,header,,,,,EPSON physical interface header declaration
9215,1,P,借方補助科目名,,,C15,,,,header,,,,,EPSON physical interface header declaration
9216,1,P,借方金額,,,C16,,,,header,,,,,EPSON physical interface header declaration
9217,1,P,借方消費税コード,,,C17,,,,header,,,,,EPSON physical interface header declaration
9218,1,P,借方消費税業種,,,C18,,,,header,,,,,EPSON physical interface header declaration
9219,1,P,借方消費税税率,,,C19,,,,header,,,,,EPSON physical interface header declaration
9220,1,P,借方資金区分,,,C20,,,,header,,,,,EPSON physical interface header declaration
9221,1,P,借方任意項目１,,,C21,,,,header,,,,,EPSON physical interface header declaration
9222,1,P,借方任意項目２,,,C22,,,,header,,,,,EPSON physical interface header declaration
9223,1,P,借方インボイス情報,,,C23,,,,header,,,,,EPSON physical interface header declaration
9224,1,P,貸方部門,,,C24,,,,header,,,,,EPSON physical interface header declaration
9225,1,P,貸方部門名,,,C25,,,,header,,,,,EPSON physical interface header declaration
9226,1,P,貸方科目,,,C26,,,,header,,,,,EPSON physical interface header declaration
9227,1,P,貸方科目名,,,C27,,,,header,,,,,EPSON physical interface header declaration
9228,1,P,貸方補助,,,C28,,,,header,,,,,EPSON physical interface header declaration
9229,1,P,貸方補助科目名,,,C29,,,,header,,,,,EPSON physical interface header declaration
9230,1,P,貸方金額,,,C30,,,,header,,,,,EPSON physical interface header declaration
9231,1,P,貸方消費税コード,,,C31,,,,header,,,,,EPSON physical interface header declaration
9232,1,P,貸方消費税業種,,,C32,,,,header,,,,,EPSON physical interface header declaration
9233,1,P,貸方消費税税率,,,C33,,,,header,,,,,EPSON physical interface header declaration
9234,1,P,貸方資金区分,,,C34,,,,header,,,,,EPSON physical interface header declaration
9235,1,P,貸方任意項目１,,,C35,,,,header,,,,,EPSON physical interface header declaration
9236,1,P,貸方任意項目２,,,C36,,,,header,,,,,EPSON physical interface header declaration
9237,1,P,貸方インボイス情報,,,C37,,,,header,,,,,EPSON physical interface header declaration
9238,1,P,摘要,,,C38,,,,header,,,,,EPSON physical interface header declaration
9239,1,P,期日,,,C39,,,,header,,,,,EPSON physical interface header declaration
9240,1,P,証番号,,,C40,,,,header,,,,,EPSON physical interface header declaration
9241,1,P,入力マシン,,,C41,,,,header,,,,,EPSON physical interface header declaration
9242,1,P,入力ユーザ,,,C42,,,,header,,,,,EPSON physical interface header declaration
9243,1,P,入力アプリ,,,C43,,,,header,,,,,EPSON physical interface header declaration
9244,1,P,入力会社,,,C44,,,,header,,,,,EPSON physical interface header declaration
9245,1,P,入力日付,,,C45,,,,header,,,,,EPSON physical interface header declaration
0001,1,C,accountingEntries,,1..*,,$.cor_AccountingEntries,single,,group,,,,,Review-only EPSON profile root Internal candidate; not an EPSON production contract.
0137,2,C,entryHeader,,0..*,,$.cor_AccountingEntries.cor_EntryHeader,keyed_rows,"[""C6"",""C7""]",group,,,,true,EPSON EntryHeader identity uses physical date plus voucher number. Internal candidate; not an EPSON production contract.
0150,3,A,entryId,String,0..1,C7,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,,,,,,,true,EPSON 伝票番号 and LedgerExplorer JP07a_GL03_01 Internal candidate; not an EPSON production contract.
0151,3,A,entryDescription,String,0..1,C8,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDescription,,,,,,,,EPSON 伝票摘要 candidate; Help confirmation remains open Internal candidate; not an EPSON production contract.
0146,3,A,headerEntryDate,Date Time,0..1,C45,$.cor_AccountingEntries.cor_EntryHeader.cor_HeaderEntryDate,,,,,,iso_date_to_yyyymmdd,,EPSON 入力日付 candidate; YYYYMMDD conversion is not implemented Internal candidate; not an EPSON production contract.
