C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
1,,,GLAccountsPeriodBalances,,,,,,,,,
1,1,,AccountBalance,10A100020-1,現金,D,,,,,,
1,1,1,PeriodBalance,,,,2021,M01,D,8138311,JPY,2021-04-01
1,2,,AccountBalance,10A100020-2,当座預金,D,,,,,,
1,2,1,PeriodBalance,,,,2021,M01,D,42085093,JPY,2021-04-01
1,3,,AccountBalance,10A100020-3,普通預金,D,,,,,,
1,3,1,PeriodBalance,,,,2021,M01,D,39359643,JPY,2021-04-01
1,4,,AccountBalance,10A100020-5,定期預金,D,,,,,,
1,4,1,PeriodBalance,,,,2021,M01,D,4600000,JPY,2021-04-01
1,5,,AccountBalance,10A100020-4,定期積金,D,,,,,,
1,5,1,PeriodBalance,,,,2021,M01,D,2820000,JPY,2021-04-01
1,6,,AccountBalance,10A100060,受取手形,D,,,,,,
1,6,1,PeriodBalance,,,,2021,M01,D,59534189,JPY,2021-04-01
1,7,,AccountBalance,10A100200,電子記録債権,,,,,,,
1,7,1,PeriodBalance,,,,2021,M01,,0,JPY,2021-04-01
1,8,,AccountBalance,10A100090,売掛金,D,,,,,,
1,8,1,PeriodBalance,,,,2021,M01,D,98170353,JPY,2021-04-01
1,9,,AccountBalance,10A100040,貸倒引当金,C,,,,,,
1,9,1,PeriodBalance,,,,2021,M01,C,1758018,JPY,2021-04-01
1,10,,AccountBalance,10A100230,有価証券,D,,,,,,
1,10,1,PeriodBalance,,,,2021,M01,D,1271350,JPY,2021-04-01
1,11,,AccountBalance,10A100280,商品,D,,,,,,
1,11,1,PeriodBalance,,,,2021,M01,D,63013226,JPY,2021-04-01
1,12,,AccountBalance,10A100610,短期貸付金,D,,,,,,
1,12,1,PeriodBalance,,,,2021,M01,D,480000,JPY,2021-04-01
1,13,,AccountBalance,10A100850-1,仮払消費税等,D,,,,,,
1,13,1,PeriodBalance,,,,2021,M01,D,2762581,JPY,2021-04-01
1,14,,AccountBalance,10A210130,構築物,D,,,,,,
1,14,1,PeriodBalance,,,,2021,M01,D,3280000,JPY,2021-04-01
1,15,,AccountBalance,10A210410,工具、器具及び備品,D,,,,,,
1,15,1,PeriodBalance,,,,2021,M01,D,4779810,JPY,2021-04-01
1,16,,AccountBalance,10A220190,電話加入権,D,,,,,,
1,16,1,PeriodBalance,,,,2021,M01,D,512000,JPY,2021-04-01
1,17,,AccountBalance,10A100800,差入保証金,D,,,,,,
1,17,1,PeriodBalance,,,,2021,M01,D,1200000,JPY,2021-04-01
1,18,,AccountBalance,10A230570,保険積立金,D,,,,,,
1,18,1,PeriodBalance,,,,2021,M01,D,1528000,JPY,2021-04-01
1,19,,AccountBalance,10A230650,敷金,D,,,,,,
1,19,1,PeriodBalance,,,,2021,M01,D,3140000,JPY,2021-04-01
1,20,,AccountBalance,10B100030,支払手形,C,,,,,,
1,20,1,PeriodBalance,,,,2021,M01,C,52251735,JPY,2021-04-01
1,21,,AccountBalance,10B100040,買掛金,C,,,,,,
1,21,1,PeriodBalance,,,,2021,M01,C,64051101,JPY,2021-04-01
1,22,,AccountBalance,10B100790,短期借入金,C,,,,,,
1,22,1,PeriodBalance,,,,2021,M01,C,7842000,JPY,2021-04-01
1,23,,AccountBalance,10B100630,未払金,C,,,,,,
1,23,1,PeriodBalance,,,,2021,M01,C,7584692,JPY,2021-04-01
1,24,,AccountBalance,10B100690,預り金,C,,,,,,
1,24,1,PeriodBalance,,,,2021,M01,C,2309575,JPY,2021-04-01
1,25,,AccountBalance,10B100670-1,未払事業税等,C,,,,,,
1,25,1,PeriodBalance,,,,2021,M01,C,1862000,JPY,2021-04-01
1,26,,AccountBalance,10B100640,未払法人税等,C,,,,,,
1,26,1,PeriodBalance,,,,2021,M01,C,2864378,JPY,2021-04-01
1,27,,AccountBalance,10B100890,仮受消費税等,C,,,,,,
1,27,1,PeriodBalance,,,,2021,M01,C,6540636,JPY,2021-04-01
1,28,,AccountBalance,10B100660,未払消費税等,C,,,,,,
1,28,1,PeriodBalance,,,,2021,M01,C,4947100,JPY,2021-04-01
1,29,,AccountBalance,10B100320,賞与引当金,C,,,,,,
1,29,1,PeriodBalance,,,,2021,M01,C,2021000,JPY,2021-04-01
1,30,,AccountBalance,10B200080,長期借入金,C,,,,,,
1,30,1,PeriodBalance,,,,2021,M01,C,37343150,JPY,2021-04-01
1,31,,AccountBalance,10B200120,退職給付引当金,C,,,,,,
1,31,1,PeriodBalance,,,,2021,M01,C,18560000,JPY,2021-04-01
1,32,,AccountBalance,10B200130,役員退職慰労引当金,C,,,,,,
1,32,1,PeriodBalance,,,,2021,M01,C,22000000,JPY,2021-04-01
1,33,,AccountBalance,10C110010,資本金,C,,,,,,
1,33,1,PeriodBalance,,,,2021,M01,C,10000000,JPY,2021-04-01
1,34,,AccountBalance,10C120020,資本準備金,,,,,,,
1,34,1,PeriodBalance,,,,2021,M01,,0,JPY,2021-04-01
1,35,,AccountBalance,10C130020,利益準備金,C,,,,,,
1,35,1,PeriodBalance,,,,2021,M01,C,7200000,JPY,2021-04-01
1,36,,AccountBalance,10C130360,別途積立金,C,,,,,,
1,36,1,PeriodBalance,,,,2021,M01,C,4830000,JPY,2021-04-01
1,37,,AccountBalance,10C130370,繰越利益剰余金,C,,,,,,
1,37,1,PeriodBalance,,,,2021,M01,C,82709171,JPY,2021-04-01
