source_application,source_record_key,source_row,source_occurrence_side,source_tax_code,source_tax_rate_lexical,source_tax_inclusion_mode,mapping_rule_id,output_tax_type,output_tax_category,output_tax_rate_ratio,output_transaction_classification,restoration_status,trace_sha256
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210401"",""18""]",1,C,00,,out-of-scope,L2:00:,VAT,O,,,STANDARDIZED,53E193386E0CAB2B75544B2777CEB6822DF6B56699D1320194C06C905DFA464A
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210401"",""18""]",1,D,31,10,tax-exclusive,L7:31:,VAT,S,0.10,Purchase,STANDARDIZED,70A85612AD49618D0EA49C42C3407F0BD615913CA60B4AA8514A73C66B79E045
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210401"",""246""]",2,C,00,,out-of-scope,L2:00:,VAT,O,,,STANDARDIZED,949062D09C103A2641B3A9E53A2C32141B327ECCBE88BC3AE5A5F37B9703FFD7
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210401"",""246""]",2,D,31,10,tax-exclusive,L7:31:,VAT,S,0.10,Purchase,STANDARDIZED,D26A2802B57B4321D72015CC7F3B7B582B3A97CB9124894EFAA60B1B89301CC8
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210402"",""122""]",5,C,00,,out-of-scope,L2:00:,VAT,O,,,STANDARDIZED,0D1497D0E127D73BCBCE01D83B0EBFF78C366AF5CD8EACC552EFD469429D0C71
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210402"",""122""]",5,D,31,10,tax-exclusive,L7:31:,VAT,S,0.10,Purchase,STANDARDIZED,6E846E1B5DFEBBA360472F797FBD500A83EED9EF2738D51EF2CA8C42BD2B1D5A
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210402"",""142""]",6,C,00,,out-of-scope,L2:00:,VAT,O,,,STANDARDIZED,5CF583DD8D8A5247BD9D186C45D601F584DF8536B9E0B254B109E166FD4E1FBD
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210402"",""142""]",6,D,31,10,tax-exclusive,L7:31:,VAT,S,0.10,Purchase,STANDARDIZED,133909EDEB42269A14DAE1992608DB11764417827BED144B4B5BEA37126EBBA0
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210402"",""142""]",7,C,00,,out-of-scope,L2:00:,VAT,O,,,STANDARDIZED,EF2A5E6D8F65D9AAFB25E427D1C864114DCDF6A3744CD35731DCD5AC92DDE866
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210402"",""142""]",7,D,31,10,tax-exclusive,L7:31:,VAT,S,0.10,Purchase,STANDARDIZED,DBB5F994A76ECC88A0AA0B28A08D26BA03F8537E29F9EE019BC6D33B7FA83219
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210402"",""142""]",8,C,00,,out-of-scope,L2:00:,VAT,O,,,STANDARDIZED,9BF05500AD149BFF01283E43456B5DC84AE5CC52CE804FD2FF76416C41F35FE0
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210402"",""142""]",8,D,31,10,tax-exclusive,L7:31:,VAT,S,0.10,Purchase,STANDARDIZED,1B616E4EFF7319E456A1ADF4BDFD7F17531E504064E04164A31B9073C3BCAE83
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210402"",""142""]",9,C,00,,out-of-scope,L2:00:,VAT,O,,,STANDARDIZED,5990DE88CBFA322E23A22B9DF364FB9476A791CE22BD97091B6510E7C264C71E
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210402"",""142""]",9,D,31,10,tax-exclusive,L7:31:,VAT,S,0.10,Purchase,STANDARDIZED,37E93029EC7C9EA5B405DCA773C33F93E645E86086B70D3CA3587FA0FE5D3972
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210402"",""19""]",3,C,00,,out-of-scope,L2:00:,VAT,O,,,STANDARDIZED,7C8ADB50133A230A0B6CD376D42F61AC5349DC5FCCBC902C58290CAB26C617B7
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210402"",""19""]",3,D,31,10,tax-exclusive,L7:31:,VAT,S,0.10,Purchase,STANDARDIZED,315841EB27B63B97A172AD3B1B69CB7BB77D1FEB30AE16D8BB9677D659C8A782
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210402"",""68""]",4,C,00,,out-of-scope,L2:00:,VAT,O,,,STANDARDIZED,6AFCE0AF14E25DE38004318B066F2AAEFBF5832D0A57BC2CDE22CB49313AAD4D
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210402"",""68""]",4,D,31,10,tax-exclusive,L7:31:,VAT,S,0.10,Purchase,STANDARDIZED,2CF790BBBD4AC944329B01AFC0155BE650552AB1DA4EC258CAD2CFFC5CCEFD57
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210403"",""134""]",11,C,00,,out-of-scope,L2:00:,VAT,O,,,STANDARDIZED,508884C19FDEA71280AC9A18D1523856FD13918F16E288527FE3BEB495B22AAE
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210403"",""134""]",11,D,31,10,tax-exclusive,L7:31:,VAT,S,0.10,Purchase,STANDARDIZED,94CD6415E41CA65D70A70BA9DD8B1B26E1C5F24DEAD9ACA4654B1AA297D1DE2D
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210403"",""41""]",10,C,00,,out-of-scope,L2:00:,VAT,O,,,STANDARDIZED,6F72CC791D52BA25C55A20E11A84C491CDB75693D8915335E951974791FB6369
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210403"",""41""]",10,D,31,10,tax-exclusive,L7:31:,VAT,S,0.10,Purchase,STANDARDIZED,8CE41B2ABCE8A82CB98731AEBB674EDC64493373A3E7AE4F21B90B369024DB1C
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210404"",""310""]",12,C,00,,out-of-scope,L2:00:,VAT,O,,,STANDARDIZED,8EC95819EF5262C521983E5E06005B31858F9B0E9B2458D32ACD2626919E8BEB
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210404"",""310""]",12,D,31,10,tax-exclusive,L7:31:,VAT,S,0.10,Purchase,STANDARDIZED,61A2E83792F39DE2C8B4933CF1759A2B7DF5434D574EAF1FF9A5754550660A85
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210404"",""310""]",13,C,00,,out-of-scope,L2:00:,VAT,O,,,STANDARDIZED,F7DCBD1A495F4BE0D61D85D8E4BDE16702309E82042B709215266BE556B520D8
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210404"",""310""]",13,D,31,10,tax-exclusive,L7:31:,VAT,S,0.10,Purchase,STANDARDIZED,03569FE674ACC51BA028C9FE65E1007D1D359D0D6B2AD97A5F35FB12AC339C08
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210404"",""310""]",14,C,00,,out-of-scope,L2:00:,VAT,O,,,STANDARDIZED,2AC01DA3031B3926928FC85099BF54A83EC2AC8BC597C68CB4FA3768CF6E238B
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210404"",""310""]",14,D,31,10,tax-exclusive,L7:31:,VAT,S,0.10,Purchase,STANDARDIZED,7BF3137F4CEC792DA7A0D4D100F6C6C83979DEBC71AFCA5E0BD96AD6EC502FFB
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210405"",""133""]",16,C,00,,out-of-scope,L2:00:,VAT,O,,,STANDARDIZED,3926DD9A969AFF346855A5B716BC1B4671F24334C5220C0E193227A25811CCC8
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210405"",""133""]",16,D,31,10,tax-exclusive,L7:31:,VAT,S,0.10,Purchase,STANDARDIZED,BA5A7993CE25BD919891B2BCD41584C61DEA086146D8CDD272ED0C7870920D63
EPSON_ZaimuKaikeiR4_43col_NTA_Fallback,"[""20210405"",""139""]",17,C,00,,out-of-scope,L2:00:,VAT,O,,,STANDARDIZED,6589C2A5662B259A99A48BD59A3C18E1FAB28DABCAE74502B5FA22C57854E8FB
