sequence,level,type,name,datatype,multiplicity,column,semantic_path,occurrence_mode,group_key,row_role,max_occurs,default_value,transformation,required,note
1,1,C,accountingEntries,,1..*,,$.cor_AccountingEntries,single,,group,,,,,Review-only EPSON profile root Internal candidate; not an EPSON production contract.
137,2,C,entryHeader,,0..*,,$.cor_AccountingEntries.cor_EntryHeader,keyed_rows,"[""C6"",""C7""]",group,,,,true,PCA-derived EPSON candidate: date and voucher number identify the voucher; audit user and input date may be absent.
150,3,A,entryId,String,0..1,C7,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,,,,,,,true,EPSON 伝票番号 and LedgerExplorer JP07a_GL03_01 Internal candidate; not an EPSON production contract.
151,3,A,entryDescription,String,0..1,C8,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDescription,,,,,,,,EPSON 伝票摘要 candidate; Help confirmation remains open Internal candidate; not an EPSON production contract.
146,3,A,headerEntryDate,Date Time,0..1,C43,$.cor_AccountingEntries.cor_EntryHeader.cor_HeaderEntryDate,,,,,,iso_date_to_yyyymmdd,,EPSON 入力日付 candidate; YYYYMMDD conversion is not implemented Internal candidate; not an EPSON production contract.
176,3,C,entryDetail,,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,source_rows,,driver,,,,true,One EPSON physical row drives a shared D/C detail template Internal candidate; not an EPSON production contract.
138,3,A,entryDatePosted,Date Time,0..1,C6,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,,,,,,iso_date_to_yyyymmdd,true,EPSON 伝票日付 and LedgerExplorer JP07a_GL03_03; YYYYMMDD conversion is not implemented Internal candidate; not an EPSON production contract.
178,4,A,lineNumberCounter,Decimal,0..1,C9,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_LineNumberCounter,,,,,,,,EPSON 枝番 candidate; valid when 形式=3 and pairing policy is satisfied Internal candidate; not an EPSON production contract.
383,4,A,detailDescription,String,0..1,C36,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,,,,,,,,EPSON 摘要 and LedgerExplorer JP08a_GL04_03 Internal candidate; not an EPSON production contract.
394,4,A,maturityDateOrDateDue,Date Time,0..1,C37,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MaturityDateorDateDue,,,,,,iso_date_to_yyyymmdd,,EPSON 期日 candidate; lexical format unresolved Internal candidate; not an EPSON production contract.
