dBusinessTransactions,dEntityParty,dPartyAddress,dTransactionHeader,dHeaderIdentifierReference,dRegisteredIdentifier,dHeaderTax,dHeaderAmountStructure,dTransactionDetail,dDetailMeasurable,dDetailTax,dDetailAmountStructure,dDetailAdjustment,dHeaderAdjustment,adjustmentType,taxType,partyName,entityAddressDescription,entityAddressPurpose,entityAddressStreet,entityAddressCity,entityAddressCountry,entityAddressZipOrPostalCode,entityPartyType,headerInvoiceType,headerDocumentNumber,headerMaturityDateOrDateDue,headerPaymentTerms,headerIdentifierPurpose,headerIdentifierType,headerIdentifierRegisteredId,headerAmountOfTaxes,headerBasisForTaxation,headerTaxPercentageRate,headerTaxCategory,headerAmount,headerAmountType,lineNumber,secondaryMeasurableCode,measurableQuantity,measurableUnitOfMeasure,measurableStartTime,measurableEndTime,taxPercentageRate,taxCategory,detailRitchTextDetailDescription,amount,amountType,detailAdjustmentAmount,detailAdjustmentBaseAmount,detailAdjustmentReason,detailAdjustmentReasonCode,businessProcessType,headerAdjustmentAmount,headerAdjustmentBaseAmount,headerAdjustmentReason,headerAdjustmentReasonCode,headerAdjustmentTaxCategory
1,,,1,,,,,,,,,,,,,,,,,,,,,gen:vdN1001InvoiceCreditNoteTypeN380,INV-2026-0001,2026-08-05T00:00:00,Payment due within 30 days.,,,,,,,,,,,,,,,,,,,,,,,,,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,,,,,
1,,,1,,,,,,,,,,1,gen:vdAdjustmentTypeAllowance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,10000,Document level discount,95,S
1,,,1,,,,,,,,,,2,gen:vdAdjustmentTypeCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,10000,Freight service,FC,S
1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,OpenPeppol UBL Invoice PoC sample item.,,,,,,,,,,,,
1,,,1,,,,,1,,,,1,,gen:vdAdjustmentTypeAllowance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,10000,Line discount,95,,,,,,
1,,,1,,,,,1,,,,2,,gen:vdAdjustmentTypeCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,10000,Handling charge,HD,,,,,,
1,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,gen:vdAmountTypeLineNetAmount,,,,,,,,,,
1,,,1,,,,,1,,1,,,,,gen:vdTaxTypeVAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,S,,,,,,,,,,,,,
1,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITEM-001,10,EA,2026-07-01T00:00:00,2026-07-31T00:00:00,,,,,,,,,,,,,,,
1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,gen:vdAmountTypeLineNetTotal,,,,,,,,,,,,,,,,,,,,,
