column,name
C1,伝票日付
C2,伝票番号
C3,仕訳区分
C4,管理仕訳区分
C5,借方税計算モード
C6,借方部門コード
C7,借方部門名
C8,借方科目コード
C9,借方科目名
C10,借方補助科目コード
C11,借方補助科目名
C12,借方税区分コード
C13,借方税区分名
C14,借方金額
C15,借方消費税額
C16,貸方税計算モード
C17,貸方部門コード
C18,貸方部門名
C19,貸方科目コード
C20,貸方科目名
C21,貸方補助科目コード
C22,貸方補助科目名
C23,貸方税区分コード
C24,貸方税区分名
C25,貸方金額
C26,貸方消費税額
C27,摘要文
C28,数字１
C29,数字２
C30,入力プログラム区分
C31,配賦元税計算
C32,配賦元集計方法
C33,配賦元集計開始日付
C34,配賦元集計終了日付
C35,配賦元管理仕訳区分
C36,配賦元部門コード
C37,配賦元部門名
C38,配賦元科目コード
C39,配賦元科目名
C40,配賦元補助コード
C41,配賦元補助名
C42,配賦元金額
C43,数字３
C44,数字４
C45,数字５
C46,金額１
C47,金額２
C48,金額３
C49,金額４
C50,金額５
C51,文字列１
C52,文字列２
C53,文字列３
C54,文字列４
C55,文字列５
C56,入力日付時間
C57,借方取引先コード
C58,借方取引先名
C59,借方セグメント１コード
C60,借方セグメント１名
C61,借方セグメント２コード
C62,借方セグメント２名
C63,借方セグメント３コード
C64,借方セグメント３名
C65,貸方取引先コード
C66,貸方取引先名
C67,貸方セグメント１コード
C68,貸方セグメント１名
C69,貸方セグメント２コード
C70,貸方セグメント２名
C71,貸方セグメント３コード
C72,貸方セグメント３名
C73,配賦選択
C74,配賦元取引先コード
C75,配賦元取引先名
C76,配賦元セグメント１コード
C77,配賦元セグメント１名
C78,配賦元セグメント２コード
C79,配賦元セグメント２名
C80,配賦元セグメント３コード
C81,配賦元セグメント３名
