伝票日付,伝票番号,仕訳区分,管理仕訳区分,借方税計算モード,借方部門コード,借方部門名,借方科目コード,借方科目名,借方補助コード,借方補助名,借方税区分コード,借方税区分名,借方金額,借方消費税額,貸方税計算モード,貸方部門コード,貸方部門名,貸方科目コード,貸方科目名,貸方補助コード,貸方補助名,貸方税区分コード,貸方税区分名,貸方金額,貸方消費税額,摘要文,数字１,数字２,入力プログラム区分,配賦元税計算,配賦元集計方法,配賦元集計開始日付,配賦元集計終了日付,配賦元管理仕訳区分,配賦元部門コード,配賦元部門名,配賦元科目コード,配賦元科目名,配賦元補助コード,配賦元補助名,配賦元金額,数字３,数字４,数字５,金額１,金額２,金額３,金額４,金額５,文字列１,文字列２,文字列３,文字列４,文字列５,入力日付時間,借方取引先コード,借方取引先名,借方セグメント１コード,借方セグメント１名,借方セグメント２コード,借方セグメント２名,借方セグメント３コード,借方セグメント３名,貸方取引先コード,貸方取引先名,貸方セグメント１コード,貸方セグメント１名,貸方セグメント２コード,貸方セグメント２名,貸方セグメント３コード,貸方セグメント３名,配賦選択,配賦元取引先コード,配賦元取引先名,配賦元セグメント１コード,配賦元セグメント１名,配賦元セグメント２コード,配賦元セグメント２名,配賦元セグメント３コード,配賦元セグメント３名
20210401,18,21,0,1,010,札幌営業所,726,旅費交通費,,,Q5,仕入10%,19500,1772,1,000,共通部門,111,現金,,,00,対象外,19500,0,旅費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:11,,,,,,,,,,,,,,,,,,,,,,,,,
20210401,246,21,0,1,030,名古屋支店,726,旅費交通費,,,Q5,仕入10%,10000,909,1,000,共通部門,111,現金,,,00,対象外,10000,0,旅費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:11,,,,,,,,,,,,,,,,,,,,,,,,,
20210402,19,21,0,1,010,札幌営業所,726,旅費交通費,,,Q5,仕入10%,11000,1000,1,000,共通部門,111,現金,,,00,対象外,11000,0,旅費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210402,68,21,0,1,010,札幌営業所,791,雑費,,,Q5,仕入10%,2970,270,1,000,共通部門,111,現金,,,00,対象外,2970,0,トイレットペーパー他,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210402,122,21,0,1,040,大阪支店,727,通信費,,,Q5,仕入10%,1050,95,1,000,共通部門,111,現金,,,00,対象外,1050,0,証明書発行手数料,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210402,142,21,0,1,040,大阪支店,740,車両費,,,Q5,仕入10%,2458,223,1,000,共通部門,111,現金,,,00,対象外,13384,0,高速代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210402,142,21,0,1,040,大阪支店,740,車両費,,,Q5,仕入10%,591,53,0,,,,,,,,,,,駐車代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210402,142,21,0,1,040,大阪支店,740,車両費,,,Q5,仕入10%,4620,420,0,,,,,,,,,,,ガソリン代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210402,142,21,0,1,040,大阪支店,740,車両費,,,Q5,仕入10%,5715,519,0,,,,,,,,,,,洗車券代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210403,41,21,0,1,020,東京支店,733,交際接待費,,,Q5,仕入10%,12000,1090,1,000,共通部門,111,現金,,,00,対象外,12000,0,結婚式会費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210403,134,21,0,1,010,札幌営業所,754,事務用消耗品費,,,Q5,仕入10%,15600,1418,1,000,共通部門,111,現金,,,00,対象外,15600,0,用紙,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210404,310,21,0,1,050,九州営業所,740,車両費,,,Q5,仕入10%,6486,589,1,000,共通部門,111,現金,,,00,対象外,17401,0,ガソリン代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210404,310,21,0,1,050,九州営業所,740,車両費,,,Q5,仕入10%,9715,883,0,,,,,,,,,,,高速代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210404,310,21,0,1,050,九州営業所,740,車両費,,,Q5,仕入10%,1200,109,0,,,,,,,,,,,駐車代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210405,76,21,0,1,020,東京支店,724,福利厚生費,,,Q5,仕入10%,56000,5090,1,000,共通部門,322,未払金,,,00,対象外,56000,0,制服代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210405,133,21,0,1,020,東京支店,746,支払報酬,,,Q5,仕入10%,139710,12700,1,000,共通部門,131,普通預金,20,ABC銀行 本店,00,対象外,139710,0,税理士報酬,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
