uadc_path,xbrl_source,copy_class,xbrl_sha256,uadc_sha256,result
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\bus\bus-oim-2026-12-31.xsd,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\bus\bus-oim-2026-12-31.xsd,EXACT,4B882593A6936A7CFB1D5E970E8F96DE0A5CDEF51A1EB6BE3C07F61896F21151,4B882593A6936A7CFB1D5E970E8F96DE0A5CDEF51A1EB6BE3C07F61896F21151,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\bus\label\bus-oim-lab-en-2026-12-31.xml,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\bus\label\bus-oim-lab-en-2026-12-31.xml,EXACT,98E2DFA14DA6CA2975564306507FDE990E8538F5F718B880D0E16559B73B90B6,98E2DFA14DA6CA2975564306507FDE990E8538F5F718B880D0E16559B73B90B6,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\bus\label\bus-oim-lab-ja-2026-12-31.xml,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\bus\label\bus-oim-lab-ja-2026-12-31.xml,EXACT,BA52E07B9C7186D1A8FE65B342398506CAFF7CD60BF4E7C2ADC3F48AA79282BA,BA52E07B9C7186D1A8FE65B342398506CAFF7CD60BF4E7C2ADC3F48AA79282BA,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\cor\cor-oim-2026-12-31.xsd,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\cor\cor-oim-2026-12-31.xsd,EXACT,3E78F5329937101101FE1CA154BDCF5F94CA55FB8A8248F31D9367395E3EA1C6,3E78F5329937101101FE1CA154BDCF5F94CA55FB8A8248F31D9367395E3EA1C6,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\cor\cor-oim-pre-2026-12-31.xml,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\cor\cor-oim-pre-2026-12-31.xml,EXACT,508392D846F15DA62CFC6CAAD04C7077E73251A5F793E37056729B39113E8916,508392D846F15DA62CFC6CAAD04C7077E73251A5F793E37056729B39113E8916,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\cor\label\cor-oim-lab-en-2026-12-31.xml,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\cor\label\cor-oim-lab-en-2026-12-31.xml,EXACT,F498B2E421BE5DFDBEC538F3DB3A9559CE69D3D090C73061DF4402D319BE36D0,F498B2E421BE5DFDBEC538F3DB3A9559CE69D3D090C73061DF4402D319BE36D0,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\cor\label\cor-oim-lab-ja-2026-12-31.xml,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\cor\label\cor-oim-lab-ja-2026-12-31.xml,EXACT,7C884A58AB45FF8FFCBA8FAF4A8BCCA5BC9488FB31006953C0C1AC70B3054CF7,7C884A58AB45FF8FFCBA8FAF4A8BCCA5BC9488FB31006953C0C1AC70B3054CF7,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\ehm\ehm-oim-2026-12-31.xsd,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\ehm\ehm-oim-2026-12-31.xsd,EXACT,F47B2DD440B790F1625384CD0316BC862545710B74C3A25E08794F82B212FA90,F47B2DD440B790F1625384CD0316BC862545710B74C3A25E08794F82B212FA90,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\ehm\label\ehm-oim-lab-en-2026-12-31.xml,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\ehm\label\ehm-oim-lab-en-2026-12-31.xml,EXACT,2790DE2F2D006E17B9142C2ACC37CC7583B313386485C88236C610EA585B4190,2790DE2F2D006E17B9142C2ACC37CC7583B313386485C88236C610EA585B4190,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\ehm\label\ehm-oim-lab-ja-2026-12-31.xml,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\ehm\label\ehm-oim-lab-ja-2026-12-31.xml,EXACT,1F0DCD9EAA12EF25A5C18410ECF916121504B7412D6B6DCB5C002B88D683140B,1F0DCD9EAA12EF25A5C18410ECF916121504B7412D6B6DCB5C002B88D683140B,MATCH
