column,name,multiplicity,Representation,semSort,id,path,semPath,value,line,fixedValue,term,,example
dColumn2,伝票,,,5910,JP07a,/JP07a,/JP07a,JP04a_GL02_01='*',,,$.JP Journal Entry,JpJrnEntry,
dColumn27,明細行,1..*,,5943,JP08a,/JP07a/JP08a,/JP07a/JP08a,,[*],,$.JP Journal Entry.JP Journal Entry Line,JpJrnEntry.JpJrnEntryLin,
dColumn6,借方部門,0..*,,6075,BS04fb,/JP07a/JP08a/BS04fb,/JP07a/JP08a/BS04fb,"[BS04c5_03=""department""]",,,$.JP Journal Entry.JP Journal Entry Line.(Debit) Business Segment,JpJrnEntry.JpJrnEntryLin.DebtBusSg,
dColumn10,借方補助科目,0..*,,5983,JP05a,/JP07a/JP08a/JP05a,/JP07a/JP08a/JP05a,"[JP05a_03=""sub-account""]",,,$.JP Journal Entry.JP Journal Entry Line.(Debit) JP Ledger Account.Subsidiary Ledger Account,JpJrnEntry.JpJrnEntryLin.DebtJpLedgrAcnt.SubsdrLedgrAcnt,
dColumn17,貸方部門,0..*,,6080,BS04fc,/JP07a/JP08a/BS04fc,/JP07a/JP08a/BS04fc,"[BS04c6_03=""department""]",,,$.JP Journal Entry.JP Journal Entry Line.(Credit) Business Segment,JpJrnEntry.JpJrnEntryLin.CrdtBusSg,
dColumn21,貸方補助科目,0..*,,6033,JP05b,/JP07a/JP08a/JP05b,/JP07a/JP08a/JP05b,"[JP05b_03=""sub-account""]",,,$.JP Journal Entry.JP Journal Entry Line.(Credit) JP Ledger Account.Subsidiary Ledger Account,JpJrnEntry.JpJrnEntryLin.CrdtJpLedgrAcnt.SubsdrLedgrAcnt,
Column1,伝票日付,0..1,Date,5913,JP07a_GL03_03,/JP07a/JP07a_GL03_03,/JP07a/JP07a_GL03_03,,,,$.JP Journal Entry.Effective Date,JpJrnEntry.EffctvDt,
Column2,伝票番号,1..1,Identifier,5911,JP07a_GL03_01,/JP07a/JP07a_GL03_01,/JP07a/JP07a_GL03_01,,,,$.JP Journal Entry.ID,JpJrnEntry.Id,
Column3,仕訳区分,1..1,Identifier,5921,GE23c_01,/JP07a/GE23c_01,/JP07a/GE23c_01,,,,$.JP Journal Entry.Journal Entry Type.Code,JpJrnEntry.JrnEntryTyp.Cd,
Column4,管理仕訳区分,,,,,,,,,,,,
