sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path
4611,1,C,,P Order Line,,,,Contains line item details for Orders. JP extension for the consumption tax.,JP,0,P Order Line,JP16a,/JP16a,$.JP Order Line,JpOrdLin
4612,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a line item within a contract.,JP,0,P Order Line.ID,JP16a_GE28_GE04_01,/JP16a/JP16a_GE28_GE04_01,$.JP Order Line.ID,JpOrdLin.Id
4613,2,A,,Number,Char,0..1,Char Short,"The number for a specific line within a contract, enabling distinction and reference.",JP,0,P Order Line.Number,JP16a_GE28_GE04_02,/JP16a/JP16a_GE28_GE04_02,$.JP Order Line.Number,JpOrdLin.Nr
4614,2,A,,Status,Code,0..1,STATUS CODE,The current state of the contract line item's lifecycle.,JP,0,P Order Line.Status,JP16a_GE28_GE04_04,/JP16a/JP16a_GE28_GE04_04,$.JP Order Line.Status,JpOrdLin.Stat
4615,2,A,,Payer ID,Char,0..1,Char Medium,The unique identifier for the entity responsible for making payment on an order line.,JP,0,P Order Line.Payer ID,JP16a_GE28_03,/JP16a/JP16a_GE28_03,$.JP Order Line.Payer ID,JpOrdLin.PayrId
4616,2,A,,Due Date,Date,0..1,DATE,The ultimate date by which the order is requested.,JP,0,P Order Line.Due Date,JP16a_GE28_04,/JP16a/JP16a_GE28_04,$.JP Order Line.Due Date,JpOrdLin.DuDt
4617,2,A,,Quantity Per Package,Integer,0..1,,"The number of individual items in the Basic UOM (smallest unit, e.g., ""PC"" for pencil) contained within a larger unit as specified in the Line UOM (such as dozens, cartons, or other packaging formats).",JP,0,P Order Line.Quantity Per Package,JP16a_01,/JP16a/JP16a_01,$.JP Order Line.Quantity Per Package,JpOrdLin.QtPerPackg
4618,2,C,,P Order Line.(Tax Excluded Line Extension Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Order Line.(Tax Excluded Line Extension Transaction) Amount,GE05hZ,/JP16a/GE05hZ,$.JP Order Line.(Tax Excluded Line Extension Transaction) Amount,JpOrdLin.TaxExclddLinExtnsnTrnsctAmt
4619,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Order Line.(Tax Excluded Line Extension Transaction) Amount.Value,GE05hZ_01,/JP16a/GE05hZ_01,$.JP Order Line.(Tax Excluded Line Extension Transaction) Amount.Value,JpOrdLin.TaxExclddLinExtnsnTrnsctAmt.Vl
4620,3,R,,P Order Line.(Tax Excluded Line Extension Transaction) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Order Line.(Tax Excluded Line Extension Transaction) Amount.Currency,BS01h5,/JP16a/BS01h5,$.JP Order Line.(Tax Excluded Line Extension Transaction) Amount.Currency,JpOrdLin.TaxExclddLinExtnsnTrnsctAmt.Cur
4621,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Order Line.(Tax Excluded Line Extension Transaction) Amount.Currency.Code,BS01h5_01,/JP16a/BS01h5_01,$.JP Order Line.(Tax Excluded Line Extension Transaction) Amount.Currency.Code,JpOrdLin.TaxExclddLinExtnsnTrnsctAmt.Cur.Cd
4622,2,C,,P Order Line.(Tax Included Line Extension Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Order Line.(Tax Included Line Extension Transaction) Amount,GE05h0,/JP16a/GE05h0,$.JP Order Line.(Tax Included Line Extension Transaction) Amount,JpOrdLin.TaxInclddLinExtnsnTrnsctAmt
4623,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Order Line.(Tax Included Line Extension Transaction) Amount.Value,GE05h0_01,/JP16a/GE05h0_01,$.JP Order Line.(Tax Included Line Extension Transaction) Amount.Value,JpOrdLin.TaxInclddLinExtnsnTrnsctAmt.Vl
4624,3,R,,P Order Line.(Tax Included Line Extension Transaction) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Order Line.(Tax Included Line Extension Transaction) Amount.Currency,BS01h6,/JP16a/BS01h6,$.JP Order Line.(Tax Included Line Extension Transaction) Amount.Currency,JpOrdLin.TaxInclddLinExtnsnTrnsctAmt.Cur
4625,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Order Line.(Tax Included Line Extension Transaction) Amount.Currency.Code,BS01h6_01,/JP16a/BS01h6_01,$.JP Order Line.(Tax Included Line Extension Transaction) Amount.Currency.Code,JpOrdLin.TaxInclddLinExtnsnTrnsctAmt.Cur.Cd
4626,2,C,,P Order Line.(Tax Excluded Unit Price Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Order Line.(Tax Excluded Unit Price Transaction) Amount,GE05h1,/JP16a/GE05h1,$.JP Order Line.(Tax Excluded Unit Price Transaction) Amount,JpOrdLin.TaxExclddUntPrcTrnsctAmt
4627,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Order Line.(Tax Excluded Unit Price Transaction) Amount.Value,GE05h1_01,/JP16a/GE05h1_01,$.JP Order Line.(Tax Excluded Unit Price Transaction) Amount.Value,JpOrdLin.TaxExclddUntPrcTrnsctAmt.Vl
4628,3,R,,P Order Line.(Tax Excluded Unit Price Transaction) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Order Line.(Tax Excluded Unit Price Transaction) Amount.Currency,BS01h7,/JP16a/BS01h7,$.JP Order Line.(Tax Excluded Unit Price Transaction) Amount.Currency,JpOrdLin.TaxExclddUntPrcTrnsctAmt.Cur
4629,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Order Line.(Tax Excluded Unit Price Transaction) Amount.Currency.Code,BS01h7_01,/JP16a/BS01h7_01,$.JP Order Line.(Tax Excluded Unit Price Transaction) Amount.Currency.Code,JpOrdLin.TaxExclddUntPrcTrnsctAmt.Cur.Cd
4630,2,C,,P Order Line.(Tax Included Unit Price Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Order Line.(Tax Included Unit Price Transaction) Amount,GE05h2,/JP16a/GE05h2,$.JP Order Line.(Tax Included Unit Price Transaction) Amount,JpOrdLin.TaxInclddUntPrcTrnsctAmt
4631,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Order Line.(Tax Included Unit Price Transaction) Amount.Value,GE05h2_01,/JP16a/GE05h2_01,$.JP Order Line.(Tax Included Unit Price Transaction) Amount.Value,JpOrdLin.TaxInclddUntPrcTrnsctAmt.Vl
4632,3,R,,P Order Line.(Tax Included Unit Price Transaction) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Order Line.(Tax Included Unit Price Transaction) Amount.Currency,BS01h8,/JP16a/BS01h8,$.JP Order Line.(Tax Included Unit Price Transaction) Amount.Currency,JpOrdLin.TaxInclddUntPrcTrnsctAmt.Cur
4633,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Order Line.(Tax Included Unit Price Transaction) Amount.Currency.Code,BS01h8_01,/JP16a/BS01h8_01,$.JP Order Line.(Tax Included Unit Price Transaction) Amount.Currency.Code,JpOrdLin.TaxInclddUntPrcTrnsctAmt.Cur.Cd
4634,2,C,,P Order Line.Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",JP,0,P Order Line.Quantity,GE07ai,/JP16a/GE07ai,$.JP Order Line.Quantity,JpOrdLin.Qt
4635,3,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,JP,0,P Order Line.Quantity.Value,GE07ai_01,/JP16a/GE07ai_01,$.JP Order Line.Quantity.Value,JpOrdLin.Qt.Vl
4636,3,R,,P Order Line.Quantity.Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",JP,32,P Order Line.Quantity.Measurement Unit,BS02bw,/JP16a/BS02bw,$.JP Order Line.Quantity.Measurement Unit,JpOrdLin.Qt.MeaUnt
4637,4,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,JP,32,P Order Line.Quantity.Measurement Unit.UOM Code,BS02bw_01,/JP16a/BS02bw_01,$.JP Order Line.Quantity.Measurement Unit.UOM Code,JpOrdLin.Qt.MeaUnt.UomCod
4638,2,C,,P Order Line.(Base) Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",JP,0,P Order Line.(Base) Quantity,GE07aj,/JP16a/GE07aj,$.JP Order Line.(Base) Quantity,JpOrdLin.BasQt
4639,3,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,JP,0,P Order Line.(Base) Quantity.Value,GE07aj_01,/JP16a/GE07aj_01,$.JP Order Line.(Base) Quantity.Value,JpOrdLin.BasQt.Vl
4640,3,R,,P Order Line.(Base) Quantity.Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",JP,32,P Order Line.(Base) Quantity.Measurement Unit,BS02bx,/JP16a/BS02bx,$.JP Order Line.(Base) Quantity.Measurement Unit,JpOrdLin.BasQt.MeaUnt
