schema_id,schema_version,direction,structured_column,ordinal,role,sequence,level,type,name_ja,name_en,datatype,multiplicity,owner_class,semantic_path,binding_path,occurrence_rule,source_binding_id,source_column,transformation,required,note
xbrl-gl-next-ae-structured-tidy-v2,2.0.0,structured-output,C1,1,occurrence-coordinate,0001,1,C,会計仕訳,Accounting Entries,String,1..*,$.cor_AccountingEntries,$.cor_AccountingEntries,$.cor_AccountingEntries[C1],root-occurrence,PCA_Cn_SEMANTIC_PATH_BINDING,,derive-root-occurrence,true,Root occurrence coordinate
xbrl-gl-next-ae-structured-tidy-v2,2.0.0,structured-output,C2,2,occurrence-coordinate,0137,2,C,仕訳ヘッダー,Entry Header,String,0..*,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries[C1].cor_EntryHeader[C2],header-occurrence,PCA_Cn_SEMANTIC_PATH_BINDING,,derive-entry-header-occurrence,true,Header coordinate inherited by descendants
xbrl-gl-next-ae-structured-tidy-v2,2.0.0,structured-output,C3,3,occurrence-coordinate,0176,3,C,仕訳明細,Entry Detail,String,0..*,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3],detail-occurrence,PCA_Cn_SEMANTIC_PATH_BINDING,,derive-entry-detail-occurrence,false,D/C is a property and not the occurrence selector
xbrl-gl-next-ae-structured-tidy-v2,2.0.0,structured-output,C4,4,occurrence-coordinate,0360,4,C,明細勘定科目識別子,Detail Account Identifier,String,0..*,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailAccountIdentifier[C4],account-identifier-occurrence,PCA_Cn_SEMANTIC_PATH_BINDING,,derive-account-identifier-occurrence,false,Public PCA profile emits one row while HMD remains unbounded
xbrl-gl-next-ae-structured-tidy-v2,2.0.0,structured-output,C5,5,occurrence-coordinate,0375,5,C,補助科目,Subaccount,String,0..*,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailAccountIdentifier[C4].cor_Subaccount[C5],subaccount-occurrence,PCA_Cn_SEMANTIC_PATH_BINDING,C6|C10|C17|C21,side-aware-row-expansion,false,Every department or auxiliary account is a separate row
xbrl-gl-next-ae-structured-tidy-v2,2.0.0,structured-output,C6,6,occurrence-coordinate,0331,4,C,明細税,Detail Tax,String,0..*,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailTax[C6],detail-tax-occurrence,PCA_Cn_SEMANTIC_PATH_BINDING,C12|C23,side-aware-row-expansion,false,Every tax occurrence is a separate row
xbrl-gl-next-ae-structured-tidy-v2,2.0.0,structured-output,C7,7,value-property,0138,3,A,転記済日付,Date Posted,Date Time,0..1,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_DatePosted,header-owner-only,PCA_Cn_SEMANTIC_PATH_BINDING,C1,identity,false,Populated only on the EntryHeader row
xbrl-gl-next-ae-structured-tidy-v2,2.0.0,structured-output,C8,8,value-property,0150,3,A,仕訳識別子,Entry ID,String,0..1,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryID,header-owner-only,PCA_Cn_SEMANTIC_PATH_BINDING,C2,identity,true,Stable voucher identifier populated only on the header row
xbrl-gl-next-ae-structured-tidy-v2,2.0.0,structured-output,C9,9,value-property,0151,3,A,仕訳摘要,Entry Description,String,0..1,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDescription,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDescription,header-owner-only,PCA_Cn_SEMANTIC_PATH_BINDING,C27,identity,false,Source description has voucher grain and is stored once
xbrl-gl-next-ae-structured-tidy-v2,2.0.0,structured-output,C10,10,value-property,0385,4,A,貸借区分コード,Debit/Credit Indicator,Token,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DebitCreditIndicator,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DebitCreditIndicator,detail-owner-only,PCA_Cn_SEMANTIC_PATH_BINDING,,side-derived,true,D or C belongs to the uniquely keyed detail
